gene	M4_unstranded	M4_strand1	M4_strand2
LOC114112203	26	11	15
LOC114110836	80	46	34
LOC114113923	299	142	157
LOC114112459	0	0	0
FAM240C	19	18	1
PDCD1	1638	752	908
RTP5	0	8	14
NEU4	0	0	0
GAL3ST2	46	25	21
D2HGDH	1546	760	786
ING5	396	208	188
DTYMK	1367	683	684
ATG4B	1302	651	651
THAP4	1511	770	741
LOC105612006	89	42	47
BOK	1706	847	859
STK25	3095	1556	1539
FARP2	1294	659	635
SEPTIN2	3056	1663	1647
LOC121817693	0	151	103
LOC101101945	7468	3807	3661
LOC121817697	0	0	0
PPP1R7	4674	2359	2315
LOC101102694	449	738	791
SNED1	208	625	663
LOC121817700	182	86	96
LOC101102952	52	27	25
MAB21L4	335	172	163
AGXT	0	0	0
KIF1A	205	109	96
AQP12A	0	0	0
GPR35	661	310	351
CAPN10	1800	907	893
LOC114113946	975	471	504
RNPEPL1	12660	6404	6256
DUSP28	1290	602	688
ANKMY1	83	46	37
GPC1	574	294	280
LOC114113949	5	2	3
OTOS	0	0	0
COPS9	3074	1567	1507
LOC105611997	0	0	0
LOC101105206	0	0	0
LOC101105463	0	0	0
LOC101105712	0	0	0
LOC101106226	0	0	0
LOC105614374	0	0	0
LOC106990790	0	0	0
LOC101119544	0	0	0
LOC101119802	0	0	0
LOC101106484	0	0	0
LOC101106736	0	0	0
LOC101106990	0	0	0
LOC101107492	0	0	0
LOC114112937	0	0	0
LOC101107754	0	0	0
NDUFA10	4679	2278	2401
LOC121818744	8	4	4
LOC121817241	0	0	0
LOC121818745	251	148	103
LOC121818748	27	13	14
HDAC4	289	131	158
LOC121818750	0	0	0
LOC121818751	0	0	0
TWIST2	0	0	0
LOC105609211	76	28	48
LOC121818752	0	0	0
LOC121818755	0	0	0
LOC105609212	5	0	5
ASB1	680	326	354
TRAF3IP1	220	107	113
PER2	160	79	81
HES6	28	13	15
LOC114113958	484	272	212
LOC121818762	0	0	0
LOC101109322	2060	1039	1021
ERFE	0	0	0
KLHL30	30	15	15
ESPNL	615	311	304
SCLY	830	386	444
LOC105609220	372	184	206
UBE2F	1730	917	831
RAMP1	896	455	441
RBM44	0	0	0
LRRFIP1	4108	2125	1983
LOC114112941	0	0	0
RAB17	123	64	59
PRLH	0	0	0
MLPH	487	260	227
COL6A3	1555	841	714
TRNAC-ACA	0	0	0
COPS8	1106	529	577
LOC121817244	0	0	0
TRNAC-ACA_1	0	0	0
LOC105609224	176	106	70
ACKR3	123	80	43
IQCA1	611	297	314
TRNAG-CCC	0	0	0
LOC121818803	0	0	0
ASB18	0	0	0
GBX2	0	0	0
AGAP1	189	86	103
LOC121818811	33	11	22
SH3BP4	117	61	56
LOC121818812	0	0	0
LOC121818814	11	9	2
ARL4C	7	0	7
LOC121817251	12	12	0
LOC114111345	0	0	0
LOC121818818	13	10	3
LOC121818819	79	29	50
SPP2	29	5	24
TRPM8	45	26	19
LOC101111929	336	170	166
LOC105616272	0	0	0
LOC121818824	0	0	0
LOC105616273	0	0	0
UGT1A6	0	0	0
UGT1A3	0	0	0
UGT1A4	0	0	0
UGT1A1	0	0	0
UGT1A9	14	5	9
DNAJB3	0	0	0
LOC114113989	0	0	0
LOC105616317	0	0	0
LOC121818837	0	0	0
USP40	2356	1141	1215
LOC114111360	0	0	0
DGKD	155	79	76
SAG	49	19	30
ATG16L1	479	233	246
LOC114111333	0	0	0
LOC114111327	10	0	10
LOC121818846	94	50	44
INPP5D	1241	619	622
LOC114114006	0	0	0
NEU2	0	0	0
NGEF	17	11	6
SNORC	27	16	11
GIGYF2	438	235	203
KCNJ13	20	6	14
EFHD1	29	19	10
ZSCAN20	51	26	25
CSMD2	76	34	42
HMGB4	0	0	0
C1H1orf94	0	0	0
LOC121818920	44	33	11
LOC121818926	0	0	0
GJB5	0	0	0
LOC121818941	10	6	4
GJB4	0	0	0
GJB3	53	27	26
GJA4	225	105	120
LOC121818942	9	7	2
SMIM12	1143	551	592
DLGAP3	26	12	14
TRNAG-CCC_1	0	0	0
LOC101114743	0	0	0
TMEM35B	32	22	10
ZMYM6	451	205	246
ZMYM1	511	252	259
LOC105602104	21	11	10
LOC106990819	105	71	34
SFPQ	9646	4864	4782
LOC101109132	266	139	127
ZMYM4	176	83	93
LOC114111011	0	0	0
LOC101109655	204	101	103
KIAA0319L	2645	1383	1262
NCDN	745	389	356
TFAP2E	5	0	5
PSMB2	1602	820	782
C1H1orf216	277	138	139
CLSPN	63	32	31
TRNAE-UUC	0	0	0
AGO4	396	190	206
LOC121818978	0	0	0
LOC101111060	675	350	325
AGO3	597	314	283
LOC114111240	0	0	0
LOC121818983	0	46	33
TEKT2	488	259	308
ADPRS	686	334	352
COL8A2	0	0	0
TRAPPC3	1087	567	520
MAP7D1	3009	1598	1411
THRAP3	1447	751	696
SH3D21	300	165	135
EVA1B	1635	916	719
STK40	3184	1501	1683
LSM10	146	61	85
OSCP1	262	120	142
MRPS15	971	459	512
CSF3R	17	0	17
GRIK3	0	0	0
LOC105603244	0	0	0
ZC3H12A	255	122	133
MEAF6	963	485	478
SNIP1	161	80	81
DNALI1	120	40	80
GNL2	1239	654	585
RSPO1	96	57	39
C1H1orf109	431	252	179
CDCA8	172	99	73
EPHA10	30	11	19
LOC114111163	0	0	0
MANEAL	43	35	39
YRDC	1098	584	545
C1H1orf122	701	356	345
MTF1	297	130	167
INPP5B	1631	867	764
SF3A3	2943	1466	1477
FHL3	122	66	56
UTP11	790	396	394
POU3F1	32	14	18
TRNAC-GCA	0	0	0
RRAGC	0	0	0
LOC121819013	1221	596	625
GJA9	29	16	13
RHBDL2	677	330	347
TRNAA-UGC	0	0	0
TRNAA-UGC_1	0	0	0
TRNAA-UGC_2	0	0	0
LOC114111188	0	0	0
AKIRIN1	27	10	17
LOC114114099	116	50	66
NDUFS5	14804	7255	7549
MACF1	4893	2425	2468
LOC114110953	0	0	0
LOC121819031	73	30	43
TRNAR-GCG	0	0	0
LOC121819029	3	0	3
TRNAG-UCC	0	0	0
LOC101120626	77	35	42
LOC114114126	13	8	5
LOC105604051	0	0	0
PABPC4	8426	4332	4094
LOC114111320	0	0	0
HEYL	158	71	87
NT5C1A	19	10	9
HPCAL4	107	55	52
LOC121817293	0	0	0
PPIE	1148	624	524
LOC121819044	51	79	70
BMP8B	0	44	54
OXCT2	0	0	0
TRIT1	997	501	496
MYCL	235	128	107
MFSD2A	20	12	8
CAP1	4196	2081	2115
TRNAR-CCU	0	0	0
PPT1	3838	1909	1929
LOC114111355	0	0	0
LOC105603393	46	24	22
LOC105604595	0	0	0
RLF	36	20	16
TMCO2	25	16	9
ZMPSTE24	691	332	359
LOC105604745	278	132	146
COL9A2	72	41	31
SMAP2	864	469	395
ZFP69B	0	0	0
LOC121819063	0	0	0
ZFP69	321	175	146
EXO5	424	210	214
ZNF684	38	19	19
LOC101102188	0	0	0
RIMS3	97	46	51
LOC105605528	299	133	166
NFYC	625	296	329
MIR30C	0	0	0
KCNQ4	74	40	34
LOC121819078	0	0	0
CITED4	959	490	469
CTPS1	672	332	340
SLFNL1	87	45	42
SCMH1	413	242	171
LOC114111142	0	0	0
LOC121819081	33	10	23
TRNAG-CCC_2	0	0	0
FOXO6	0	0	0
EDN2	0	0	0
HIVEP3	150	85	65
LOC114114913	0	0	0
LOC121817307	45	29	16
GUCA2B	0	0	0
GUCA2A	0	0	0
FOXJ3	427	214	213
LOC121817095	131	77	54
LOC114111265	6	2	4
RIMKLA	38	20	18
ZMYND12	30	21	9
PPCS	758	351	407
CCDC30	141	78	63
PPIH	1517	828	689
YBX1	4414	2184	2230
CLDN19	0	0	0
LOC121819109	0	0	0
P3H1	667	350	317
C1H1orf50	604	286	318
TMEM269	7	197	271
LOC101106376	548	514	495
LOC101103113	0	0	0
ZNF691	535	215	320
SLC2A1	107	43	64
LOC121819112	66	32	34
LOC101103614	0	0	0
LOC101104115	0	0	0
LOC101104364	0	0	0
LOC101104625	0	0	0
LOC101104878	25	10	15
LOC101107645	0	0	0
LOC101107910	0	0	0
LOC101105126	17	11	6
LOC101105378	0	0	0
LOC101108173	0	0	0
LOC101105621	0	0	0
LOC101108434	9	2	7
FAM183A	310	165	145
EBNA1BP2	2626	1265	1361
CFAP57	374	196	178
LOC121819116	0	0	0
TMEM125	1303	692	611
C1H1orf210	161	85	76
LOC101109657	128	68	60
