gene	MS1_unstranded	MS1_strand1	MS1_strand2
LOC114112203	1	0	1
LOC114110836	1	1	0
LOC114113923	36	0	36
LOC114112459	49	7	42
FAM240C	0	0	0
PDCD1	396	213	183
RTP5	0	0	0
NEU4	0	0	0
GAL3ST2	0	0	0
D2HGDH	2957	1559	1398
ING5	359	238	121
DTYMK	709	366	343
ATG4B	586	306	280
THAP4	1415	662	753
LOC105612006	20	9	11
BOK	1335	680	655
STK25	2289	1082	1207
FARP2	1699	784	915
SEPTIN2	1818	967	1000
LOC121817693	0	81	68
LOC101101945	5890	2670	3220
LOC121817697	0	0	0
PPP1R7	3631	1905	1726
LOC101102694	200	471	401
SNED1	149	377	444
LOC121817700	56	12	44
LOC101102952	405	148	257
MAB21L4	701	348	353
AGXT	0	0	0
KIF1A	138	96	42
AQP12A	0	0	0
GPR35	572	245	327
CAPN10	856	456	400
LOC114113946	93	62	31
RNPEPL1	9759	4707	5052
DUSP28	545	274	271
ANKMY1	83	47	36
GPC1	569	289	280
LOC114113949	0	0	0
OTOS	0	0	0
COPS9	2287	1156	1131
LOC105611997	0	0	0
LOC101105206	0	0	0
LOC101105463	0	0	0
LOC101105712	0	0	0
LOC101106226	0	0	0
LOC105614374	0	0	0
LOC106990790	0	0	0
LOC101119544	0	0	0
LOC101119802	0	0	0
LOC101106484	0	0	0
LOC101106736	0	0	0
LOC101106990	0	0	0
LOC101107492	0	0	0
LOC114112937	0	0	0
LOC101107754	0	0	0
NDUFA10	1335	643	692
LOC121818744	67	47	20
LOC121817241	0	0	0
LOC121818745	0	0	0
LOC121818748	0	0	0
HDAC4	168	52	116
LOC121818750	0	0	0
LOC121818751	0	0	0
TWIST2	23	0	23
LOC105609211	0	0	0
LOC121818752	0	0	0
LOC121818755	0	0	0
LOC105609212	0	0	0
ASB1	126	67	59
TRAF3IP1	164	90	74
PER2	108	51	57
HES6	247	96	151
LOC114113958	577	309	268
LOC121818762	0	0	0
LOC101109322	712	345	367
ERFE	0	0	0
KLHL30	0	0	0
ESPNL	620	266	354
SCLY	394	209	185
LOC105609220	328	188	140
UBE2F	721	362	359
RAMP1	311	170	141
RBM44	0	0	0
LRRFIP1	2070	1022	1048
LOC114112941	0	0	0
RAB17	64	0	64
PRLH	0	0	0
MLPH	229	93	136
COL6A3	1698	896	802
TRNAC-ACA	0	0	0
COPS8	429	242	187
LOC121817244	0	0	0
TRNAC-ACA_1	0	0	0
LOC105609224	0	0	0
ACKR3	76	33	43
IQCA1	3107	1559	1548
TRNAG-CCC	0	0	0
LOC121818803	0	0	0
ASB18	0	0	0
GBX2	0	0	0
AGAP1	84	45	39
LOC121818811	0	0	0
SH3BP4	53	31	22
LOC121818812	0	0	0
LOC121818814	119	61	58
ARL4C	0	0	0
LOC121817251	0	0	0
LOC114111345	0	0	0
LOC121818818	190	96	94
LOC121818819	0	0	0
SPP2	0	0	0
TRPM8	142	76	66
LOC101111929	708	342	366
LOC105616272	0	0	0
LOC121818824	0	0	0
LOC105616273	0	0	0
UGT1A6	0	0	0
UGT1A3	0	0	0
UGT1A4	0	0	0
UGT1A1	0	0	0
UGT1A9	0	0	0
DNAJB3	0	0	0
LOC114113989	0	0	0
LOC105616317	0	0	0
LOC121818837	0	0	0
USP40	1800	890	910
LOC114111360	0	0	0
DGKD	588	286	302
SAG	106	71	35
ATG16L1	380	227	153
LOC114111333	62	32	30
LOC114111327	194	97	97
LOC121818846	137	79	58
INPP5D	523	269	254
LOC114114006	268	145	123
NEU2	0	0	0
NGEF	0	0	0
SNORC	58	39	19
