Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
pulmonary valve morphogenesis (GO:0003184)	4/17	2.769235954460794E-5	0.04159392403600112	0	0	28.832664965366387	302.5801932424864	NOTCH2;HEYL;GJA5;ROBO1
regulation of axonogenesis (GO:0050770)	5/51	2.152977312995218E-4	0.16168859620594087	0	0	10.21687370600414	86.26605759444405	GSK3B;AMIGO1;NGF;PAK2;ROBO1
positive regulation of potassium ion transport (GO:0043268)	4/38	7.197757532401911E-4	0.2825095669574197	0	0	11.012545302481183	79.69306430150807	DLG1;KCNJ10;AMIGO1;KCNN3
pulmonary valve development (GO:0003177)	3/18	8.872873494851892E-4	0.2825095669574197	0	0	18.650943396226417	131.06655174181196	NOTCH2;HEYL;ROBO1
cyclic-GMP-AMP transmembrane import across plasma membrane (GO:0140361)	2/5	0.00112597250002909	0.2825095669574197	0	0	61.91549295774648	420.35097922971016	LRRC8C;LRRC8D
neurotrophin signaling pathway (GO:0038179)	3/21	0.001412245108849805	0.2825095669574197	0	0	15.540094339622641	101.98302785306943	RAP1A;SORT1;NGF
guanine nucleotide transmembrane transport (GO:1903790)	2/6	0.0016770008542963586	0.2825095669574197	0	0	46.43427230046948	296.74974614939794	LRRC8C;LRRC8D
negative regulation of stress fiber assembly (GO:0051497)	3/24	0.002098790296187255	0.2825095669574197	0	0	13.318059299191376	82.12440294746015	F11R;PAK2;PHLDB2
negative regulation of neurotransmitter secretion (GO:0046929)	2/7	0.0023311917745631916	0.2825095669574197	0	0	37.14553990610329	225.15307112797632	RAP1A;SYT11
Notch receptor processing, ligand-dependent (GO:0035333)	2/7	0.0023311917745631916	0.2825095669574197	0	0	37.14553990610329	225.15307112797632	APH1A;NCSTN
cyclic nucleotide transport (GO:0070729)	2/7	0.0023311917745631916	0.2825095669574197	0	0	37.14553990610329	225.15307112797632	LRRC8C;LRRC8D
regulation of potassium ion transmembrane transport (GO:1901379)	4/54	0.002697650323824064	0.2825095669574197	0	0	7.482464454976303	44.261576705231995	DLG1;KCNJ10;AMIGO1;KCNN3
negative regulation of actin filament bundle assembly (GO:0032232)	3/27	0.002962105187937621	0.2825095669574197	0	0	11.651533018867925	67.83353636124515	F11R;PAK2;PHLDB2
negative regulation of regulated secretory pathway (GO:1903306)	2/8	0.00308628439020542	0.2825095669574197	0	0	30.953051643192488	178.9330101358756	RAP1A;STXBP3
RNA processing (GO:0006396)	7/179	0.0032899808289402264	0.2825095669574197	0	0	3.837516771019678	21.93859809250546	SF3B4;SF3A3;SCNM1;RBM8A;PABPC4;ELAVL4;SRSF11
amyloid-beta formation (GO:0034205)	2/9	0.003940054102133119	0.2825095669574197	0	0	26.52984574111335	146.88410460392782	APH1A;NCSTN
Notch receptor processing (GO:0007220)	2/9	0.003940054102133119	0.2825095669574197	0	0	26.52984574111335	146.88410460392782	APH1A;NCSTN
protein hexamerization (GO:0034214)	2/9	0.003940054102133119	0.2825095669574197	0	0	26.52984574111335	146.88410460392782	LRRC8C;LRRC8D
Notch signaling pathway (GO:0007219)	4/60	0.00395681513800241	0.2825095669574197	0	0	6.678740690589032	36.94890288297577	NOTCH2;APH1A;HEYL;NCSTN
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	4/60	0.00395681513800241	0.2825095669574197	0	0	6.678740690589032	36.94890288297577	AMIGO1;NEXN;NECTIN4;ROBO1
extrinsic apoptotic signaling pathway via death domain receptors (GO:0008625)	3/30	0.004015437023104063	0.2825095669574197	0	0	10.355345911949685	57.13675073292928	SORT1;NGF;DEDD
RNA splicing (GO:0008380)	5/98	0.004144676632958913	0.2825095669574197	0	0	5.04147465437788	27.657179607724824	SF3B4;SF3A3;SCNM1;RBM8A;SRSF11
