Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
gamma-secretase complex (GO:0070765)	2/7	0.0023311917745631916	0.33911484356848093	0	0	37.14553990610329	225.15307112797632	APH1A;NCSTN
axon (GO:0030424)	7/204	0.0066694096615429205	0.33911484356848093	0	0	3.3462514642717687	16.7654691603748	GSK3B;ALCAM;SYT11;PPT1;ELAVL4;NEXN;NGF
lytic vacuole (GO:0000323)	7/219	0.009659240756203842	0.33911484356848093	0	0	3.107107220609579	14.416481082701319	SORT1;SYT11;CTSK;GBA;PPT1;CD1D;DRAM2
trans-Golgi network (GO:0005802)	7/239	0.015035435957226515	0.33911484356848093	0	0	2.836351956233422	11.905149025758782	ATP8B2;SYT11;TMEM79;GBA;TBC1D23;PLPP3;WLS
U2-type spliceosomal complex (GO:0005684)	4/89	0.015584989359734302	0.33911484356848093	0	0	4.393643713409534	18.2839156632753	SF3B4;SF3A3;RBM8A;PPIE
Cul2-RING ubiquitin ligase complex (GO:0031462)	2/19	0.017440516468481087	0.33911484356848093	0	0	10.91853079259873	44.20868621548845	GLMN;ZSWIM5
cell-cell junction (GO:0005911)	7/271	0.027605688699539874	0.33911484356848093	0	0	2.488472465034965	8.932952760528899	DLG1;GJA5;MAGI3;F11R;PLPP3;NECTIN4;PAK2
lysosome (GO:0005764)	10/477	0.0340323130251103	0.33911484356848093	0	0	2.017861806027054	6.821270494911632	ATP6V1A;NCSTN;SORT1;SYT11;CTSK;TMEM79;GBA;PPT1;CD1D;DRAM2
intercalated disc (GO:0014704)	2/31	0.043612505649984624	0.33911484356848093	0	0	6.396632669580702	20.03688473068462	DLG1;GJA5
intracellular membrane-bounded organelle (GO:0043231)	67/5192	0.04929325684750147	0.33911484356848093	0	0	1.294950560316414	3.8977597290075314	B4GALT2;GSK3B;WNT2B;ABCD3;TFRC;ZFYVE9;FAF1;POGK;MYSM1;DCAF6;CTSK;MPC2;POGZ;CLCC1;PRKACB;SAMD13;NEPRO;CFAP45;RPS8;PABPC4;DYNLT4;ARNT;ASH1L;CHD1L;LRRC41;RNF168;SCNM1;TAL1;MTF2;DEPDC1;PPIE;USP40;SF3B4;NOTCH2;ATP6V1A;USP16;RBM8A;NR1I3;PBXIP1;RPAP2;S100A16;PRDX1;NRIP1;PIP5K1A;DMAP1;DRAM2;TSPAN1;MEF2D;SRSF11;SF3A3;POU2F1;GADD45A;POLR3GL;NFYC;CDC7;PARP14;TMCO2;HEYL;RCAN1;DLG1;ZFP69;MIS18A;NFIA;FUBP1;PPT1;ACKR3;TRIM33
Cul4-RING E3 ubiquitin ligase complex (GO:0080008)	2/34	0.05153257017958881	0.33911484356848093	0	0	5.796068075117371	17.188478909742603	GLMN;DCAF6
bicellular tight junction (GO:0005923)	3/78	0.05181476486383073	0.33911484356848093	0	0	3.718867924528302	11.008147065669311	DLG1;CGN;F11R
Barr body (GO:0001740)	1/5	0.05261163833184665	0.33911484356848093	0	0	23.108644859813083	68.05075155136298	LRIF1
MPP7-DLG1-LIN7 complex (GO:0097025)	1/5	0.05261163833184665	0.33911484356848093	0	0	23.108644859813083	68.05075155136298	DLG1
CD95 death-inducing signaling complex (GO:0031265)	1/5	0.05261163833184665	0.33911484356848093	0	0	23.108644859813083	68.05075155136298	FAF1
endolysosome lumen (GO:0036021)	1/5	0.05261163833184665	0.33911484356848093	0	0	23.108644859813083	68.05075155136298	CTSK
HULC complex (GO:0033503)	1/5	0.05261163833184665	0.33911484356848093	0	0	23.108644859813083	68.05075155136298	UBE2U
ion channel complex (GO:0034702)	2/35	0.05427857430830015	0.33911484356848093	0	0	5.6201451131028595	16.37499929472011	LRRC8C;LRRC8D
clathrin-coated vesicle (GO:0030136)	3/80	0.05510778753488511	0.33911484356848093	0	0	3.621906395491301	10.497966161579352	HAX1;SGIP1;SORT1
