Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
cAMP-dependent protein kinase activity (GO:0004691)	1/5	0.0034953988931204698	0.040932964200219434	0	0	384.2692307692308	2173.5450385769154	PRKACB
cyclic nucleotide-dependent protein kinase activity (GO:0004690)	1/6	0.004193119798694676	0.040932964200219434	0	0	307.4	1682.8029678019434	PRKACB
estradiol 17-beta-dehydrogenase activity (GO:0004303)	1/8	0.0055872022837974	0.040932964200219434	0	0	219.54945054945054	1138.8637280375192	HSD17B7
histone methyltransferase activity (H3-K9 specific) (GO:0046974)	1/10	0.006979473680213335	0.040932964200219434	0	0	170.74358974358975	847.7046615380154	ASH1L
SUMO ligase activity (GO:0061665)	1/10	0.006979473680213335	0.040932964200219434	0	0	170.74358974358975	847.7046615380154	PIAS3
histone methyltransferase activity (H3-K36 specific) (GO:0046975)	1/11	0.007674930787541144	0.040932964200219434	0	0	153.66153846153847	748.3003458854362	ASH1L
SUMO transferase activity (GO:0019789)	1/19	0.013222334171232074	0.058418718375950654	0	0	85.33333333333333	369.13902050225767	PIAS3
steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0033764)	1/21	0.014604679593987663	0.058418718375950654	0	0	76.79230769230769	324.5560291468294	HSD17B7
histone-lysine N-methyltransferase activity (GO:0018024)	1/45	0.03105318942430504	0.11041134017530681	0	0	34.86363636363637	121.04841961551217	ASH1L
protein tyrosine kinase binding (GO:1990782)	1/72	0.04925285580043781	0.15760913856140102	0	0	21.57638136511376	64.9619085278147	CD247
oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)	1/87	0.059226112230162595	0.17229414466956391	0	0	17.79964221824687	50.30877970707926	HSD17B7
cysteine-type peptidase activity (GO:0008234)	1/98	0.0664779974990266	0.1749311288921727	0	0	15.772402854877082	42.75715849568251	CTSK
cysteine-type endopeptidase activity (GO:0004197)	1/105	0.07106577111244515	0.1749311288921727	0	0	14.705621301775148	38.883860874713555	CTSK
magnesium ion binding (GO:0000287)	1/146	0.097519303853754	0.2229012659514377	0	0	10.525729442970823	24.500792340793137	PRKACB
RNA polymerase II-specific DNA-binding transcription factor binding (GO:0061629)	1/190	0.12512918060539086	0.2669422519581672	0	0	8.057387057387057	16.746542799136375	PIAS3
DNA-binding transcription factor binding (GO:0140297)	1/208	0.13619638203416756	0.2723927640683351	0	0	7.350055741360089	14.653493381130971	PIAS3
DNA-binding transcription repressor activity, RNA polymerase II-specific (GO:0001227)	1/256	0.16507661696080755	0.2748086065451385	0	0	5.952036199095023	10.721674025669197	ZNF148
ubiquitin protein ligase binding (GO:0031625)	1/265	0.17039081422725555	0.2748086065451385	0	0	5.746503496503497	10.169360671271125	PRKACB
ubiquitin-like protein ligase activity (GO:0061659)	1/270	0.1733295573902393	0.2748086065451385	0	0	5.638261366885902	9.881394389188777	PIAS3
ATP binding (GO:0005524)	1/278	0.17801144751843465	0.2748086065451385	0	0	5.473201888364343	9.446239744028276	PRKACB
ubiquitin-like protein ligase binding (GO:0044389)	1/282	0.18034314804524715	0.2748086065451385	0	0	5.394196550780181	9.239686177870396	PRKACB
adenyl ribonucleotide binding (GO:0032559)	1/306	0.19420486941267293	0.2773518684505114	0	0	4.963682219419924	8.134689154696247	PRKACB
endopeptidase activity (GO:0004175)	1/315	0.1993466554488051	0.2773518684505114	0	0	4.819206271435571	7.771982062044985	CTSK
purine ribonucleoside triphosphate binding (GO:0035639)	1/460	0.27809899943037614	0.37079866590716815	0	0	3.2724987430869783	4.1880722748156485	PRKACB
protein kinase binding (GO:0019901)	1/506	0.3015384188891201	0.37789267558080425	0	0	2.9674028941355672	3.5574942392018785	CD247
metal ion binding (GO:0046872)	1/517	0.3070377989094034	0.37789267558080425	0	0	2.902504472271914	3.427232046750488	PRKACB
sequence-specific DNA binding (GO:0043565)	1/707	0.39590571323458357	0.4692215860558027	0	0	2.100675528437568	1.9464422379320294	ZNF148
DNA binding (GO:0003677)	1/811	0.4399461587868463	0.50279561004211	0	0	1.821082621082621	1.4952962685689817	ZNF148
RNA polymerase II cis-regulatory region sequence-specific DNA binding (GO:0000978)	1/1149	0.5633416365737721	0.6008977456786903	0	0	1.2622621281157866	0.7243731309014607	ZNF148
cis-regulatory region sequence-specific DNA binding (GO:0000987)	1/1149	0.5633416365737721	0.6008977456786903	0	0	1.2622621281157866	0.7243731309014607	ZNF148
RNA polymerase II transcription regulatory region sequence-specific DNA binding (GO:0000977)	1/1359	0.6267449164932791	0.639710917854557	0	0	1.0551716324912201	0.4929927031715282	ZNF148
RNA binding (GO:0003723)	1/1406	0.639710917854557	0.639710917854557	0	0	1.0173008486175745	0.4544678575267545	UBAP2L
