Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
pulmonary valve morphogenesis (GO:0003184)	3/17	2.3082541959083857E-4	0.28345361525754975	0	0	30.15501519756839	252.51354061606875	NOTCH2;HEYL;GJA5
regulation of microtubule-based process (GO:0032886)	3/36	0.002193056673209447	0.3148873060579645	0	0	12.780786589297227	78.24984146027947	GSK3B;MACF1;PHLDB2
Notch signaling involved in heart development (GO:0061314)	2/11	0.0027133773902958064	0.3148873060579645	0	0	31.059467918622847	183.54782496889186	NOTCH2;HEYL
energy coupled proton transport, down electrochemical gradient (GO:0015985)	2/12	0.0032407200557799188	0.3148873060579645	0	0	27.952112676056338	160.22038435143824	ATP5PB;ATP5PO
positive regulation of cellular component biogenesis (GO:0044089)	4/92	0.004412583318939295	0.3148873060579645	0	0	6.418181818181818	34.80769319947104	SH3GLB1;GSK3B;TFRC;TAL1
atrial septum development (GO:0003283)	2/14	0.004426316552816298	0.3148873060579645	0	0	23.291079812206572	126.24202009549751	NOTCH2;GJA5
atrioventricular valve development (GO:0003171)	2/14	0.004426316552816298	0.3148873060579645	0	0	23.291079812206572	126.24202009549751	HEYL;GJA5
regulation of protein localization to nucleus (GO:1900180)	3/47	0.004701669852407392	0.3148873060579645	0	0	9.58027079303675	51.34869509372139	GSK3B;TFRC;OTUD7B
positive regulation of programmed cell death (GO:0043068)	7/286	0.004733682278287874	0.3148873060579645	0	0	3.585249718755723	19.192027765163942	VAV3;JUN;FAM162A;GADD45A;ADAMTSL4;ITSN1;BCL10
cellular response to mechanical stimulus (GO:0071260)	3/49	0.005286650609673479	0.3148873060579645	0	0	9.162812210915819	48.03668797426157	GADD45A;BCL10;F11R
cell communication by electrical coupling involved in cardiac conduction (GO:0086064)	2/17	0.006522344646023044	0.3148873060579645	0	0	18.630046948356807	93.75610919425641	GJA5;ATP1A1
cell surface receptor signaling pathway involved in heart development (GO:0061311)	2/17	0.006522344646023044	0.3148873060579645	0	0	18.630046948356807	93.75610919425641	NOTCH2;HEYL
mitochondrial ATP synthesis coupled proton transport (GO:0042776)	2/17	0.006522344646023044	0.3148873060579645	0	0	18.630046948356807	93.75610919425641	ATP5PB;ATP5PO
positive regulation of apoptotic process (GO:0043065)	7/310	0.007265802977239855	0.3148873060579645	0	0	3.297222422972224	16.23742393171532	VAV3;JUN;FAM162A;GADD45A;ADAMTSL4;ITSN1;BCL10
pulmonary valve development (GO:0003177)	2/18	0.007303199171774846	0.3148873060579645	0	0	17.464788732394368	85.91702890574375	NOTCH2;HEYL
response to interferon-alpha (GO:0035455)	2/18	0.007303199171774846	0.3148873060579645	0	0	17.464788732394368	85.91702890574375	IFNAR2;IFNAR1
ATP synthesis coupled proton transport (GO:0015986)	2/19	0.008124111152401935	0.3148873060579645	0	0	16.43661971830986	79.10811857172071	ATP5PB;ATP5PO
negative regulation of protein localization to nucleus (GO:1900181)	2/19	0.008124111152401935	0.3148873060579645	0	0	16.43661971830986	79.10811857172071	GSK3B;OTUD7B
regulation of synaptic vesicle exocytosis (GO:2000300)	2/19	0.008124111152401935	0.3148873060579645	0	0	16.43661971830986	79.10811857172071	GSK3B;RAP1A
cardiac ventricle development (GO:0003231)	2/20	0.00898447152514467	0.3148873060579645	0	0	15.522691705790297	73.14692162054195	HEYL;GJA5
regulation of granulocyte chemotaxis (GO:0071622)	2/20	0.00898447152514467	0.3148873060579645	0	0	15.522691705790297	73.14692162054195	AKIRIN1;S100A14
positive regulation of cellular component organization (GO:0051130)	4/114	0.00933689211811943	0.3148873060579645	0	0	5.1288311688311685	23.971037935154477	SH3GLB1;GSK3B;TFRC;TAL1
cellular response to lectin (GO:1990858)	4/115	0.009620437682151997	0.3148873060579645	0	0	5.082368082368083	23.601833888683654	MUC1;NRAS;BCL10;PRKACB
stimulatory C-type lectin receptor signaling pathway (GO:0002223)	4/115	0.009620437682151997	0.3148873060579645	0	0	5.082368082368083	23.601833888683654	MUC1;NRAS;BCL10;PRKACB
positive regulation of glycolytic process (GO:0045821)	2/21	0.009883677815701666	0.3148873060579645	0	0	14.704966641957006	67.890927985844	ARNT;ZBTB20
stress granule assembly (GO:0034063)	2/21	0.009883677815701666	0.3148873060579645	0	0	14.704966641957006	67.890927985844	CSDE1;UBAP2L
positive regulation of purine nucleotide metabolic process (GO:1900544)	2/21	0.009883677815701666	0.3148873060579645	0	0	14.704966641957006	67.890927985844	ARNT;ZBTB20
regulation of protein-containing complex assembly (GO:0043254)	4/116	0.009909528475620547	0.3148873060579645	0	0	5.036734693877551	23.240795936107013	SH3GLB1;GSK3B;TFRC;TAL1
positive regulation of phosphorylation (GO:0042327)	6/253	0.010112534496426647	0.3148873060579645	0	0	3.451681042070058	15.856952242366045	TFRC;LMO4;ZBTB20;ARNT;BCL10;CCN1
positive regulation of protein-containing complex assembly (GO:0031334)	4/118	0.010504506313237622	0.3148873060579645	0	0	4.947869674185464	22.542251499028424	SH3GLB1;GSK3B;TFRC;TAL1
innate immune response activating cell surface receptor signaling pathway (GO:0002220)	4/119	0.01081047206118582	0.3148873060579645	0	0	4.904596273291926	22.204284331016368	MUC1;NRAS;BCL10;PRKACB
negative regulation of stress fiber assembly (GO:0051497)	2/24	0.012808444912197204	0.3148873060579645	0	0	12.697823303457106	55.33267691589696	F11R;PHLDB2
positive regulation of carbohydrate metabolic process (GO:0045913)	2/24	0.012808444912197204	0.3148873060579645	0	0	12.697823303457106	55.33267691589696	ARNT;ZBTB20
protein localization to membrane (GO:0072657)	5/195	0.01354663291146677	0.3148873060579645	0	0	3.723210904960242	16.015828277080598	SH3GLB1;DLG1;RAP1A;PIP5K1A;F11R
receptor signaling pathway via STAT (GO:0097696)	2/25	0.013857139668764335	0.3148873060579645	0	0	12.14513165952235	51.96846794915384	IFNAR2;IFNAR1
regulation of cardiac muscle cell action potential (GO:0098901)	2/25	0.013857139668764335	0.3148873060579645	0	0	12.14513165952235	51.96846794915384	DLG1;GJA5
cardiac conduction system development (GO:0003161)	2/25	0.013857139668764335	0.3148873060579645	0	0	12.14513165952235	51.96846794915384	NOTCH2;GJA5
RNA splicing, via transesterification reactions (GO:0000375)	2/25	0.013857139668764335	0.3148873060579645	0	0	12.14513165952235	51.96846794915384	SF3A3;PRPF3
positive regulation of transcription by RNA polymerase II (GO:0045944)	13/908	0.014126733868102976	0.3148873060579645	0	0	2.102375367819523	8.955459462951644	JUN;AKIRIN1;USP16;ARNT;MYSM1;DCAF6;HEYL;MUC1;TAL1;MTF1;MTF2;CCN1;GABPA
inorganic cation transmembrane transport (GO:0098662)	6/274	0.014520036285756351	0.3148873060579645	0	0	3.1778066190785204	13.449195067150692	MCOLN3;KCNA3;ATP5PO;ATP1A1;SLC39A1;MCOLN2
Fc-gamma receptor signaling pathway involved in phagocytosis (GO:0038096)	3/71	0.014626276270829354	0.3148873060579645	0	0	6.191489361702128	26.158643965477694	VAV3;FCGR3A;CD247
positive regulation of cellular protein localization (GO:1903829)	3/71	0.014626276270829354	0.3148873060579645	0	0	6.191489361702128	26.158643965477694	GSK3B;TFRC;SLC5A3
Fc-gamma receptor signaling pathway (GO:0038094)	3/72	0.015183308386755582	0.3148873060579645	0	0	6.101449275362318	25.550176306001767	VAV3;FCGR3A;CD247
regulation of cardiac muscle cell contraction (GO:0086004)	2/27	0.016061755469987723	0.3148873060579645	0	0	11.172394366197183	46.15667226914974	DLG1;GJA5
regulation of cell junction assembly (GO:1901888)	2/27	0.016061755469987723	0.3148873060579645	0	0	11.172394366197183	46.15667226914974	RAP1A;F11R
positive regulation of erythrocyte differentiation (GO:0045648)	2/27	0.016061755469987723	0.3148873060579645	0	0	11.172394366197183	46.15667226914974	TAL1;ARNT
negative regulation of actin filament bundle assembly (GO:0032232)	2/27	0.016061755469987723	0.3148873060579645	0	0	11.172394366197183	46.15667226914974	F11R;PHLDB2
Fc receptor mediated stimulatory signaling pathway (GO:0002431)	3/74	0.01633298185302125	0.3148873060579645	0	0	5.92897812406353	24.395188339781075	VAV3;FCGR3A;CD247
protein localization to plasma membrane (GO:0072659)	4/136	0.016913237580507577	0.3148873060579645	0	0	4.269264069264069	17.4171401955106	DLG1;RAP1A;PIP5K1A;F11R
cristae formation (GO:0042407)	2/28	0.01721655419339674	0.3148873060579645	0	0	10.742145178764897	43.63334660593152	ATP5PB;ATP5PO
phospholipid metabolic process (GO:0006644)	3/76	0.01753028873653178	0.3148873060579645	0	0	5.76595744680851	23.316523501926714	ACP6;PIP5K1A;PLPP3
establishment of endothelial barrier (GO:0061028)	2/29	0.018405608793970886	0.3148873060579645	0	0	10.34376630151278	41.32437904505058	RAP1A;F11R
positive regulation of viral genome replication (GO:0045070)	2/29	0.018405608793970886	0.3148873060579645	0	0	10.34376630151278	41.32437904505058	PPIE;TMEM39A
regulation of apoptotic process (GO:0042981)	11/742	0.01850296691317687	0.3148873060579645	0	0	2.163839832138486	8.633340497050174	NOTCH2;VAV3;GSK3B;JUN;SON;TFRC;FAM162A;GADD45A;ADAMTSL4;ITSN1;BCL10
protein localization to cell periphery (GO:1990778)	4/140	0.018606498257670676	0.3148873060579645	0	0	4.142857142857143	16.506155332427884	DLG1;RAP1A;PIP5K1A;F11R
positive regulation of cellular catabolic process (GO:0031331)	4/141	0.019045649527793338	0.3148873060579645	0	0	4.112408759124087	16.288908016098162	SH3GLB1;GSK3B;ZBTB20;ARNT
Ras protein signal transduction (GO:0007265)	4/142	0.019491184406100096	0.3148873060579645	0	0	4.082401656314699	16.07565265469037	JUN;NRAS;RIT1;RAP1A
positive regulation of B cell proliferation (GO:0030890)	2/30	0.01962837334808242	0.3148873060579645	0	0	9.9738430583501	39.20497423677295	VAV3;TFRC
Golgi to plasma membrane protein transport (GO:0043001)	2/30	0.01962837334808242	0.3148873060579645	0	0	9.9738430583501	39.20497423677295	MACF1;GOLPH3L
primary neural tube formation (GO:0014020)	2/30	0.01962837334808242	0.3148873060579645	0	0	9.9738430583501	39.20497423677295	LMO4;BCL10
glycerophospholipid metabolic process (GO:0006650)	3/80	0.02006836723253237	0.3148873060579645	0	0	5.465321912130423	21.36181446471937	SYNJ1;ACP6;PIP5K1A
receptor signaling pathway via JAK-STAT (GO:0007259)	2/31	0.020884307912838993	0.3148873060579645	0	0	9.629431762991743	37.253933653561546	IFNAR2;IFNAR1
peptide cross-linking (GO:0018149)	2/31	0.020884307912838993	0.3148873060579645	0	0	9.629431762991743	37.253933653561546	FCGR3A;CD247
tube closure (GO:0060606)	2/31	0.020884307912838993	0.3148873060579645	0	0	9.629431762991743	37.253933653561546	LMO4;BCL10
regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)	3/82	0.021409326720086077	0.3148873060579645	0	0	5.326420684082952	20.474380930257798	PSRC1;CDKN2C;GADD45A
RNA biosynthetic process (GO:0032774)	2/32	0.022172878484655937	0.3148873060579645	0	0	9.307981220657277	35.4530340248081	TAF13;TTF2
protein K63-linked deubiquitination (GO:0070536)	2/32	0.022172878484655937	0.3148873060579645	0	0	9.307981220657277	35.4530340248081	USP16;OTUD7B
positive regulation of ATP metabolic process (GO:1903580)	2/33	0.023493556928503728	0.3148873060579645	0	0	9.00726942298955	33.786529435062214	ZBTB20;ARNT
positive regulation of organelle organization (GO:0010638)	2/33	0.023493556928503728	0.3148873060579645	0	0	9.00726942298955	33.786529435062214	GSK3B;SYNJ1
dephosphorylation (GO:0016311)	4/153	0.02481962687764065	0.3148873060579645	0	0	3.778906999041227	13.967295749381359	ACP6;PLPP3;PTPRF;CTTNBP2NL
neural tube closure (GO:0001843)	2/34	0.02484582093740223	0.3148873060579645	0	0	8.725352112676056	32.2407494176797	LMO4;BCL10
secondary alcohol biosynthetic process (GO:1902653)	2/34	0.02484582093740223	0.3148873060579645	0	0	8.725352112676056	32.2407494176797	PMVK;HSD17B7
negative regulation of cell cycle G1/S phase transition (GO:1902807)	2/35	0.02622915396032546	0.3148873060579645	0	0	8.46052069995732	30.803772250788512	DLG1;CDKN2C
regulation of autophagosome assembly (GO:2000785)	2/35	0.02622915396032546	0.3148873060579645	0	0	8.46052069995732	30.803772250788512	SH3GLB1;TMEM39A
negative regulation of organelle assembly (GO:1902116)	2/35	0.02622915396032546	0.3148873060579645	0	0	8.46052069995732	30.803772250788512	ODF2L;TMEM39A
cholesterol biosynthetic process (GO:0006695)	2/35	0.02622915396032546	0.3148873060579645	0	0	8.46052069995732	30.803772250788512	PMVK;HSD17B7
negative regulation of cellular protein localization (GO:1903828)	2/36	0.027643045162137104	0.3148873060579645	0	0	8.211267605633802	29.46515759690419	GSK3B;OTUD7B
establishment of protein localization to plasma membrane (GO:0061951)	2/36	0.027643045162137104	0.3148873060579645	0	0	8.211267605633802	29.46515759690419	MACF1;GOLPH3L
regulation of sodium ion transport (GO:0002028)	2/36	0.027643045162137104	0.3148873060579645	0	0	8.211267605633802	29.46515759690419	DLG1;ATP1A1
toll-like receptor signaling pathway (GO:0002224)	3/91	0.028037579489979363	0.3148873060579645	0	0	4.779497098646035	17.082924145544197	CTSK;BCL10;S100A14
proton transmembrane transport (GO:1902600)	2/37	0.029086989356807046	0.3148873060579645	0	0	7.97625754527163	28.21572636126222	ATP5PO;ATP1A1
regulation of actin cytoskeleton reorganization (GO:2000249)	2/37	0.029086989356807046	0.3148873060579645	0	0	7.97625754527163	28.21572636126222	NOTCH2;F11R
negative regulation of G1/S transition of mitotic cell cycle (GO:2000134)	2/37	0.029086989356807046	0.3148873060579645	0	0	7.97625754527163	28.21572636126222	DLG1;CDKN2C
regulation of erythrocyte differentiation (GO:0045646)	2/37	0.029086989356807046	0.3148873060579645	0	0	7.97625754527163	28.21572636126222	TAL1;ARNT
regulation of microtubule cytoskeleton organization (GO:0070507)	2/37	0.029086989356807046	0.3148873060579645	0	0	7.97625754527163	28.21572636126222	GSK3B;PHLDB2
regulation of p38MAPK cascade (GO:1900744)	2/37	0.029086989356807046	0.3148873060579645	0	0	7.97625754527163	28.21572636126222	DLG1;GADD45A
positive regulation of myeloid cell differentiation (GO:0045639)	2/37	0.029086989356807046	0.3148873060579645	0	0	7.97625754527163	28.21572636126222	TAL1;ARNT
regulation of axon extension (GO:0030516)	2/38	0.030560486969918723	0.3148873060579645	0	0	7.754303599374022	27.047378352987913	GSK3B;MACF1
positive regulation of potassium ion transport (GO:0043268)	2/38	0.030560486969918723	0.3148873060579645	0	0	7.754303599374022	27.047378352987913	DLG1;AMIGO1
