Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
poly(A) binding (GO:0008143)	3/22	0.0015583922637164317	0.3343150468816873	0	0	14.935028959959707	96.5415295018257	PABPC4;ELAVL4;PPIE
poly-purine tract binding (GO:0070717)	3/28	0.0031638478041410866	0.3343150468816873	0	0	11.347177033492823	65.31396897473583	PABPC4;ELAVL4;PPIE
guanylate kinase activity (GO:0004385)	2/9	0.0038332998210134734	0.3343150468816873	0	0	26.91292517006803	149.74430351308848	DLG1;MAGI3
prostaglandin receptor activity (GO:0004955)	2/10	0.004758284264052315	0.3343150468816873	0	0	23.547619047619047	125.92956131132573	PTGFR;PTGER3
ubiquitin binding (GO:0043130)	4/74	0.007920153640254305	0.3343150468816873	0	0	5.417032967032967	26.209472606670406	RNF168;USP16;FAF1;CKS1B
polyubiquitin modification-dependent protein binding (GO:0031593)	3/51	0.016837921866838117	0.3343150468816873	0	0	5.90311004784689	24.109019739798107	RNF168;OTUD7B;DZIP3
R-SMAD binding (GO:0070412)	2/19	0.016984722995280012	0.3343150468816873	0	0	11.076190476190476	45.14036063859922	JUN;TRIM33
nucleoside monophosphate kinase activity (GO:0050145)	2/20	0.018741724429248638	0.3343150468816873	0	0	10.46031746031746	41.6007137926925	DLG1;MAGI3
cadherin binding (GO:0045296)	8/322	0.021865811419186185	0.3343150468816873	0	0	2.4321218933433246	9.297590931692348	SH3GLB1;DLG1;PRDX1;CGN;CCT8;F11R;PAK2;PHLDB2
K63-linked polyubiquitin modification-dependent protein binding (GO:0070530)	2/22	0.022473102781810455	0.3343150468816873	0	0	9.413333333333334	35.72770531271647	RNF168;OTUD7B
TBP-class protein binding (GO:0017025)	2/22	0.022473102781810455	0.3343150468816873	0	0	9.413333333333334	35.72770531271647	DR1;TAF13
inward rectifier potassium channel activity (GO:0005242)	2/25	0.028588073542857733	0.3343150468816873	0	0	8.184265010351966	29.093144187565965	KCNJ10;KCNN3
NF-kappaB binding (GO:0051059)	2/25	0.028588073542857733	0.3343150468816873	0	0	8.184265010351966	29.093144187565965	GSK3B;FAF1
general transcription initiation factor binding (GO:0140296)	2/26	0.030757888538507017	0.3343150468816873	0	0	7.8428571428571425	27.305760287227304	DR1;TAF13
GDP binding (GO:0019003)	3/67	0.034274500616947375	0.3343150468816873	0	0	4.423744019138756	14.922852916539854	NRAS;RIT1;RAP1A
transcription corepressor binding (GO:0001222)	2/29	0.03763949687856296	0.3343150468816873	0	0	6.970370370370371	22.86073298143197	MTF2;ZNF644
metallopeptidase activity (GO:0008237)	4/121	0.039982017149927274	0.3343150468816873	0	0	3.233234714003945	10.40883495324921	ADAMTS1;ADAMTSL4;MYSM1;ZMPSTE24
exoribonuclease activity, producing 5'-phosphomonoesters (GO:0016896)	2/33	0.04762651579656032	0.3343150468816873	0	0	6.069738863287251	18.478504307405302	TOE1;ERI3
3'-5'-exoribonuclease activity (GO:0000175)	2/34	0.05025841343735695	0.3343150468816873	0	0	5.879761904761905	17.583882566859184	TOE1;ERI3
interferon receptor activity (GO:0004904)	1/5	0.05189308685736502	0.3343150468816873	0	0	23.44075829383886	69.3511172071374	IFNAR2
leukotriene-C4 synthase activity (GO:0004464)	1/5	0.05189308685736502	0.3343150468816873	0	0	23.44075829383886	69.3511172071374	MGST3
C-X-C chemokine binding (GO:0019958)	1/5	0.05189308685736502	0.3343150468816873	0	0	23.44075829383886	69.3511172071374	ACKR3
C-X-C chemokine receptor activity (GO:0016494)	1/5	0.05189308685736502	0.3343150468816873	0	0	23.44075829383886	69.3511172071374	ACKR3
UDP-N-acetylglucosamine transmembrane transporter activity (GO:0005462)	1/5	0.05189308685736502	0.3343150468816873	0	0	23.44075829383886	69.3511172071374	SLC35A3
cAMP-dependent protein kinase activity (GO:0004691)	1/5	0.05189308685736502	0.3343150468816873	0	0	23.44075829383886	69.3511172071374	PRKACB
NAADP-sensitive calcium-release channel activity (GO:0072345)	1/5	0.05189308685736502	0.3343150468816873	0	0	23.44075829383886	69.3511172071374	MCOLN3
phosphatidylcholine flippase activity (GO:0140345)	1/5	0.05189308685736502	0.3343150468816873	0	0	23.44075829383886	69.3511172071374	ATP8B2
exopolyphosphatase activity (GO:0004309)	1/5	0.05189308685736502	0.3343150468816873	0	0	23.44075829383886	69.3511172071374	BNIPL
polyol transmembrane transporter activity (GO:0015166)	1/5	0.05189308685736502	0.3343150468816873	0	0	23.44075829383886	69.3511172071374	SLC5A3
prostaglandin E receptor activity (GO:0004957)	1/5	0.05189308685736502	0.3343150468816873	0	0	23.44075829383886	69.3511172071374	PTGER3
gap junction channel activity involved in cardiac conduction electrical coupling (GO:0086075)	1/5	0.05189308685736502	0.3343150468816873	0	0	23.44075829383886	69.3511172071374	GJA5
NADH dehydrogenase (quinone) activity (GO:0050136)	2/35	0.052941544964424776	0.3343150468816873	0	0	5.701298701298701	16.75364764665349	NDUFS5;NDUFA10
NADH dehydrogenase (ubiquinone) activity (GO:0008137)	2/35	0.052941544964424776	0.3343150468816873	0	0	5.701298701298701	16.75364764665349	NDUFS5;NDUFA10
catalytic activity, acting on a tRNA (GO:0140101)	2/35	0.052941544964424776	0.3343150468816873	0	0	5.701298701298701	16.75364764665349	TYW3;TRIT1
metalloendopeptidase activity (GO:0004222)	3/82	0.05655534230340686	0.3343150468816873	0	0	3.5810671673429835	10.286742961576017	ADAMTS1;ADAMTSL4;ZMPSTE24
voltage-gated potassium channel activity (GO:0005249)	3/82	0.05655534230340686	0.3343150468816873	0	0	3.5810671673429835	10.286742961576017	KCNJ10;KCNA3;KCNN3
kinase binding (GO:0019900)	9/461	0.05774216899713242	0.3343150468816873	0	0	1.8965953180173503	5.408648965492826	IFNAR2;GSK3B;DLG1;TFRC;GADD45A;FAF1;PIP5K1A;PAK2;CKS1B
core promoter sequence-specific DNA binding (GO:0001046)	2/37	0.05845605132699761	0.3343150468816873	0	0	5.374965986394558	15.262108776206697	DR1;POU2F1
1-phosphatidylinositol-4-phosphate 5-kinase activity (GO:0016308)	1/6	0.06194551081343659	0.3343150468816873	0	0	18.75165876777251	52.15774145416644	PIP5K1A
sodium ion binding (GO:0031402)	1/6	0.06194551081343659	0.3343150468816873	0	0	18.75165876777251	52.15774145416644	ATP1A1
ATP-activated inward rectifier potassium channel activity (GO:0015272)	1/6	0.06194551081343659	0.3343150468816873	0	0	18.75165876777251	52.15774145416644	KCNJ10
beta-glucosidase activity (GO:0008422)	1/6	0.06194551081343659	0.3343150468816873	0	0	18.75165876777251	52.15774145416644	GBA
mismatched DNA binding (GO:0030983)	1/6	0.06194551081343659	0.3343150468816873	0	0	18.75165876777251	52.15774145416644	MUTYH
myosin light chain binding (GO:0032027)	1/6	0.06194551081343659	0.3343150468816873	0	0	18.75165876777251	52.15774145416644	SPATA6
cyclic nucleotide-dependent protein kinase activity (GO:0004690)	1/6	0.06194551081343659	0.3343150468816873	0	0	18.75165876777251	52.15774145416644	PRKACB
P-type sodium transporter activity (GO:0008554)	1/6	0.06194551081343659	0.3343150468816873	0	0	18.75165876777251	52.15774145416644	ATP1A1
P-type sodium:potassium-exchanging transporter activity (GO:0005391)	1/6	0.06194551081343659	0.3343150468816873	0	0	18.75165876777251	52.15774145416644	ATP1A1
protein phosphatase 2B binding (GO:0030346)	1/6	0.06194551081343659	0.3343150468816873	0	0	18.75165876777251	52.15774145416644	SOD1
gap junction channel activity involved in cell communication by electrical coupling (GO:1903763)	1/6	0.06194551081343659	0.3343150468816873	0	0	18.75165876777251	52.15774145416644	GJA5
gap junction hemi-channel activity (GO:0055077)	1/6	0.06194551081343659	0.3343150468816873	0	0	18.75165876777251	52.15774145416644	GJA5
sphingosine-1-phosphate phosphatase activity (GO:0042392)	1/7	0.07189185201931281	0.3343150468816873	0	0	15.625592417061611	41.135814974954755	PLPP3
MutLalpha complex binding (GO:0032405)	1/7	0.07189185201931281	0.3343150468816873	0	0	15.625592417061611	41.135814974954755	MUTYH
MutSalpha complex binding (GO:0032407)	1/7	0.07189185201931281	0.3343150468816873	0	0	15.625592417061611	41.135814974954755	MUTYH
voltage-gated channel activity (GO:0022832)	1/7	0.07189185201931281	0.3343150468816873	0	0	15.625592417061611	41.135814974954755	KCNA3
oxidoreductase activity, acting on the CH-CH group of donors, oxygen as acceptor (GO:0016634)	1/7	0.07189185201931281	0.3343150468816873	0	0	15.625592417061611	41.135814974954755	PPOX
P-type potassium transmembrane transporter activity (GO:0008556)	1/7	0.07189185201931281	0.3343150468816873	0	0	15.625592417061611	41.135814974954755	ATP1A1
fatty acid elongase activity (GO:0009922)	1/7	0.07189185201931281	0.3343150468816873	0	0	15.625592417061611	41.135814974954755	ELOVL1
