Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
mitotic metaphase plate congression (GO:0007080)	2/51	7.477269425466376E-4	0.07126041366493731	0	0	58.119533527696795	418.3718752445384	PSRC1;NUF2
regulation of hormone biosynthetic process (GO:0046885)	1/6	0.004790942275014269	0.07126041366493731	0	0	266.38666666666666	1422.7786907214238	ARNT
histone H3-K36 methylation (GO:0010452)	1/6	0.004790942275014269	0.07126041366493731	0	0	266.38666666666666	1422.7786907214238	ASH1L
establishment of centrosome localization (GO:0051660)	1/7	0.005587341707821481	0.07126041366493731	0	0	221.9777777777778	1151.4545938502376	DLG1
positive regulation of hormone metabolic process (GO:0032352)	1/7	0.005587341707821481	0.07126041366493731	0	0	221.9777777777778	1151.4545938502376	ARNT
negative regulation of p38MAPK cascade (GO:1903753)	1/7	0.005587341707821481	0.07126041366493731	0	0	221.9777777777778	1151.4545938502376	DLG1
regulation of potassium ion export across plasma membrane (GO:1903764)	1/7	0.005587341707821481	0.07126041366493731	0	0	221.9777777777778	1151.4545938502376	DLG1
regulation of transcription from RNA polymerase II promoter in response to oxidative stress (GO:0043619)	1/8	0.006383144070851652	0.07126041366493731	0	0	190.25714285714287	961.5775796687342	ARNT
regulation of potassium ion import (GO:1903286)	1/8	0.006383144070851652	0.07126041366493731	0	0	190.25714285714287	961.5775796687342	DLG1
actin filament organization (GO:0007015)	2/152	0.006420898596246379	0.07126041366493731	0	0	18.88952380952381	95.3580412576932	DLG1;TPM3
astral microtubule organization (GO:0030953)	1/9	0.007178349711373001	0.07126041366493731	0	0	166.46666666666667	821.7936241053455	DLG1
acetyl-CoA biosynthetic process (GO:0006085)	1/10	0.00797295899684864	0.07126041366493731	0	0	147.96296296296296	714.9125872208035	PPCS
positive regulation of vascular endothelial growth factor receptor signaling pathway (GO:0030949)	1/10	0.00797295899684864	0.07126041366493731	0	0	147.96296296296296	714.9125872208035	ARNT
purine nucleoside bisphosphate biosynthetic process (GO:0034033)	1/11	0.008766972300957528	0.07126041366493731	0	0	133.16	630.7474630602054	PPCS
ribonucleoside bisphosphate biosynthetic process (GO:0034030)	1/11	0.008766972300957528	0.07126041366493731	0	0	133.16	630.7474630602054	PPCS
coenzyme A biosynthetic process (GO:0015937)	1/11	0.008766972300957528	0.07126041366493731	0	0	133.16	630.7474630602054	PPCS
attachment of mitotic spindle microtubules to kinetochore (GO:0051315)	1/12	0.00956039001281181	0.07126041366493731	0	0	121.04848484848485	562.8907982194623	NUF2
regulation of ventricular cardiac muscle cell action potential (GO:0098911)	1/12	0.00956039001281181	0.07126041366493731	0	0	121.04848484848485	562.8907982194623	DLG1
kinetochore organization (GO:0051383)	1/13	0.010353212518883667	0.07126041366493731	0	0	110.95555555555555	507.11775303850175	NUF2
homeostasis of number of cells (GO:0048872)	1/13	0.010353212518883667	0.07126041366493731	0	0	110.95555555555555	507.11775303850175	UBAP2L
heart process (GO:0003015)	1/14	0.011145440218903038	0.07126041366493731	0	0	102.41538461538461	460.53380130419424	PPCS
coenzyme A metabolic process (GO:0015936)	1/14	0.011145440218903038	0.07126041366493731	0	0	102.41538461538461	460.53380130419424	PPCS
acetyl-CoA metabolic process (GO:0006084)	1/15	0.011937073506359589	0.07126041366493731	0	0	95.0952380952381	421.0918230074216	PPCS
acyl-CoA biosynthetic process (GO:0071616)	1/17	0.013518558453539395	0.07126041366493731	0	0	83.2	358.0671608642671	PPCS
positive regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0045737)	1/17	0.013518558453539395	0.07126041366493731	0	0	83.2	358.0671608642671	PSRC1
regulation of metal ion transport (GO:0010959)	1/17	0.013518558453539395	0.07126041366493731	0	0	83.2	358.0671608642671	DLG1
regulation of spindle organization (GO:0090224)	1/18	0.014308410919694987	0.07126041366493731	0	0	78.30196078431372	332.5412031884909	PSRC1
endothelial cell proliferation (GO:0001935)	1/18	0.014308410919694987	0.07126041366493731	0	0	78.30196078431372	332.5412031884909	DLG1
establishment or maintenance of apical/basal cell polarity (GO:0035088)	1/19	0.015097670589384432	0.07126041366493731	0	0	73.94814814814815	310.08047018396815	DLG1
peptidyl-lysine dimethylation (GO:0018027)	1/19	0.015097670589384432	0.07126041366493731	0	0	73.94814814814815	310.08047018396815	ASH1L
positive regulation of cyclin-dependent protein kinase activity (GO:1904031)	1/20	0.015886337864689626	0.07126041366493731	0	0	70.05263157894737	290.1787210723924	PSRC1
cortical actin cytoskeleton organization (GO:0030866)	1/20	0.015886337864689626	0.07126041366493731	0	0	70.05263157894737	290.1787210723924	DLG1
positive regulation of glycolytic process (GO:0045821)	1/21	0.016674413158675527	0.07126041366493731	0	0	66.54666666666667	272.4340597931688	ARNT
stress granule assembly (GO:0034063)	1/21	0.016674413158675527	0.07126041366493731	0	0	66.54666666666667	272.4340597931688	UBAP2L
positive regulation of purine nucleotide metabolic process (GO:1900544)	1/21	0.016674413158675527	0.07126041366493731	0	0	66.54666666666667	272.4340597931688	ARNT
positive regulation of phosphorylation (GO:0042327)	2/253	0.01701815400061783	0.07126041366493731	0	0	11.231075697211155	45.7495018339157	LMO4;ARNT
positive regulation of carbohydrate metabolic process (GO:0045913)	1/24	0.019035091206061273	0.07126041366493731	0	0	57.857971014492755	229.20267994354347	ARNT
regulation of vascular endothelial growth factor receptor signaling pathway (GO:0030947)	1/24	0.019035091206061273	0.07126041366493731	0	0	57.857971014492755	229.20267994354347	ARNT
regulation of cardiac muscle cell action potential (GO:0098901)	1/25	0.019820802640726443	0.07126041366493731	0	0	55.44444444444444	217.39895599369999	DLG1
positive regulation of vascular endothelial growth factor production (GO:0010575)	1/25	0.019820802640726443	0.07126041366493731	0	0	55.44444444444444	217.39895599369999	ARNT
regulation of potassium ion transmembrane transporter activity (GO:1901016)	1/26	0.020605924132812946	0.07126041366493731	0	0	53.224	206.6249708321616	DLG1
positive regulation of microtubule polymerization or depolymerization (GO:0031112)	1/26	0.020605924132812946	0.07126041366493731	0	0	53.224	206.6249708321616	PSRC1
positive regulation of erythrocyte differentiation (GO:0045648)	1/27	0.021390456093790672	0.07126041366493731	0	0	51.174358974358974	196.7557093049865	ARNT
regulation of cardiac muscle cell contraction (GO:0086004)	1/27	0.021390456093790672	0.07126041366493731	0	0	51.174358974358974	196.7557093049865	DLG1
regulation of vascular endothelial growth factor production (GO:0010574)	1/27	0.021390456093790672	0.07126041366493731	0	0	51.174358974358974	196.7557093049865	ARNT
regulation of sodium ion transmembrane transport (GO:1902305)	1/28	0.0221743989287616	0.07126041366493731	0	0	49.27654320987654	187.6853284304674	DLG1
receptor clustering (GO:0043113)	1/28	0.0221743989287616	0.07126041366493731	0	0	49.27654320987654	187.6853284304674	DLG1
positive regulation of microtubule polymerization (GO:0031116)	1/28	0.0221743989287616	0.07126041366493731	0	0	49.27654320987654	187.6853284304674	PSRC1
regulation of cation transmembrane transport (GO:1904062)	1/30	0.023740518864614188	0.07126041366493731	0	0	45.87356321839081	171.59336767032013	DLG1
primary neural tube formation (GO:0014020)	1/30	0.023740518864614188	0.07126041366493731	0	0	45.87356321839081	171.59336767032013	LMO4
tube closure (GO:0060606)	1/31	0.024522696784534302	0.07126041366493731	0	0	44.34222222222222	164.42788585185278	LMO4
peptide cross-linking (GO:0018149)	1/31	0.024522696784534302	0.07126041366493731	0	0	44.34222222222222	164.42788585185278	CD247
regulation of potassium ion transport (GO:0043266)	1/31	0.024522696784534302	0.07126041366493731	0	0	44.34222222222222	164.42788585185278	DLG1
regulation of transcription by RNA polymerase II (GO:0006357)	5/2206	0.025063408224404015	0.07126041366493731	0	0	3.6725042336128206	13.538122526227252	DLG1;NFYC;ARNT;ZNF148;DCAF6
establishment or maintenance of epithelial cell apical/basal polarity (GO:0045197)	1/32	0.0253042872146084	0.07126041366493731	0	0	42.909677419354836	157.76950563835985	DLG1
regulation of NMDA receptor activity (GO:2000310)	1/32	0.0253042872146084	0.07126041366493731	0	0	42.909677419354836	157.76950563835985	DLG1
positive regulation of ATP metabolic process (GO:1903580)	1/33	0.026085290572661173	0.07126041366493731	0	0	41.56666666666667	151.56801592617538	ARNT
neural tube closure (GO:0001843)	1/34	0.02686570725940496	0.07126041366493731	0	0	40.3050505050505	145.77952373263088	LMO4
regulation of mitotic spindle organization (GO:0060236)	1/35	0.027645537688029766	0.07126041366493731	0	0	39.11764705882353	140.36549891248842	PSRC1
negative regulation of cell cycle G1/S phase transition (GO:1902807)	1/35	0.027645537688029766	0.07126041366493731	0	0	39.11764705882353	140.36549891248842	DLG1
regulation of sodium ion transport (GO:0002028)	1/36	0.028424782266975358	0.07126041366493731	0	0	37.99809523809524	135.29198627979454	DLG1
positive regulation of myeloid cell differentiation (GO:0045639)	1/37	0.02920344140144554	0.07126041366493731	0	0	36.94074074074074	130.52895191723596	ARNT
negative regulation of stress-activated MAPK cascade (GO:0032873)	1/37	0.02920344140144554	0.07126041366493731	0	0	36.94074074074074	130.52895191723596	DLG1
regulation of p38MAPK cascade (GO:1900744)	1/37	0.02920344140144554	0.07126041366493731	0	0	36.94074074074074	130.52895191723596	DLG1
negative regulation of G1/S transition of mitotic cell cycle (GO:2000134)	1/37	0.02920344140144554	0.07126041366493731	0	0	36.94074074074074	130.52895191723596	DLG1
regulation of erythrocyte differentiation (GO:0045646)	1/37	0.02920344140144554	0.07126041366493731	0	0	36.94074074074074	130.52895191723596	ARNT
actin-myosin filament sliding (GO:0033275)	1/38	0.029981515505369965	0.07126041366493731	0	0	35.94054054054054	126.04973784905	TPM3
positive regulation of potassium ion transport (GO:0043268)	1/38	0.029981515505369965	0.07126041366493731	0	0	35.94054054054054	126.04973784905	DLG1
muscle filament sliding (GO:0030049)	1/38	0.029981515505369965	0.07126041366493731	0	0	35.94054054054054	126.04973784905	TPM3
supramolecular fiber organization (GO:0097435)	2/351	0.031335388642682094	0.07284351099974704	0	0	8.037249283667622	27.833052077676665	DLG1;TPM3
regulation of microtubule polymerization (GO:0031113)	1/40	0.031535910249890484	0.07284351099974704	0	0	34.0940170940171	117.85034688899692	PSRC1
cortical cytoskeleton organization (GO:0030865)	1/41	0.032312231703393396	0.07360008332439606	0	0	33.24	114.08996545091124	DLG1
substantia nigra development (GO:0021762)	1/43	0.03386312482285649	0.07607606124586938	0	0	31.653968253968255	107.16225006283427	ZNF148
microtubule bundle formation (GO:0001578)	1/45	0.03541168760944945	0.07847995632364474	0	0	30.21212121212121	100.93003681239617	PSRC1
purine ribonucleotide biosynthetic process (GO:0009152)	1/48	0.037730169536142964	0.08250330405236594	0	0	28.279432624113475	92.68005025728142	PPCS
cellular defense response (GO:0006968)	1/49	0.03850183520662026	0.08257383333913204	0	0	27.68888888888889	90.18407814256837	ZNF148
positive regulation of ion transport (GO:0043270)	1/50	0.039272920734465235	0.08257383333913204	0	0	27.122448979591837	87.80133530116419	DLG1
negative regulation of ERK1 and ERK2 cascade (GO:0070373)	1/50	0.039272920734465235	0.08257383333913204	0	0	27.122448979591837	87.80133530116419	DLG1
positive regulation of protein localization to cell periphery (GO:1904377)	1/52	0.04081335298568707	0.08366737362065849	0	0	26.056209150326797	83.34719406663498	DLG1
positive regulation of protein localization to plasma membrane (GO:1903078)	1/52	0.04081335298568707	0.08366737362065849	0	0	26.056209150326797	83.34719406663498	DLG1
bicellular tight junction assembly (GO:0070830)	1/53	0.04158270052170735	0.0836824217376094	0	0	25.553846153846155	81.26304639681278	DLG1
regulation of potassium ion transmembrane transport (GO:1901379)	1/54	0.04235146953793646	0.0836824217376094	0	0	25.07044025157233	79.26651858378708	DLG1
cytoplasmic microtubule organization (GO:0031122)	1/54	0.04235146953793646	0.0836824217376094	0	0	25.07044025157233	79.26651858378708	DLG1
tight junction assembly (GO:0120192)	1/56	0.04388727364133556	0.08568467710927419	0	0	24.156363636363636	75.5159546794018	DLG1
regulation of neurotransmitter receptor activity (GO:0099601)	1/58	0.0454207685297007	0.08763536516318723	0	0	23.30643274853801	72.05849833180837	DLG1
apical junction assembly (GO:0043297)	1/60	0.046951957438519945	0.0895362909292706	0	0	22.51412429378531	68.86238459395226	DLG1
positive regulation of cell cycle (GO:0045787)	1/66	0.051531720597775645	0.09603638838676369	0	0	20.42974358974359	60.58558396287635	PSRC1
regulation of protein localization (GO:0032880)	1/66	0.051531720597775645	0.09603638838676369	0	0	20.42974358974359	60.58558396287635	DLG1
positive regulation of protein polymerization (GO:0032273)	1/69	0.05381385761215394	0.09863605538982348	0	0	19.525490196078433	57.05786130626521	PSRC1
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	1/71	0.05533242131624244	0.09863605538982348	0	0	18.965714285714284	54.89429252839914	DLG1
regulation of glycolytic process (GO:0006110)	1/71	0.05533242131624244	0.09863605538982348	0	0	18.965714285714284	54.89429252839914	ARNT
Fc-gamma receptor signaling pathway involved in phagocytosis (GO:0038096)	1/71	0.05533242131624244	0.09863605538982348	0	0	18.965714285714284	54.89429252839914	CD247
Fc-gamma receptor signaling pathway (GO:0038094)	1/72	0.056090846072530835	0.09891288984833395	0	0	18.697652582159623	53.86387318021709	CD247
Fc receptor mediated stimulatory signaling pathway (GO:0002431)	1/74	0.057605983408424405	0.10050405615937875	0	0	18.183561643835617	51.89822766625515	CD247
regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061418)	1/75	0.05836269679999959	0.10075244500210456	0	0	17.936936936936938	50.96024313698236	ARNT
positive regulation of endothelial cell proliferation (GO:0001938)	1/77	0.0598744149956941	0.10228545895097742	0	0	17.46315789473684	49.16762572200828	ARNT
regulation of NIK/NF-kappaB signaling (GO:1901222)	1/80	0.062137726863596726	0.10398558373091697	0	0	16.79746835443038	46.67011894145101	DLG1
regulation of protein localization to plasma membrane (GO:1903076)	1/80	0.062137726863596726	0.10398558373091697	0	0	16.79746835443038	46.67011894145101	DLG1
regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)	1/82	0.06364376247100487	0.10543007116408887	0	0	16.381069958847736	45.12090295320282	PSRC1
positive regulation of transcription, DNA-templated (GO:0045893)	3/1183	0.06492444382976387	0.10647608788081274	0	0	3.677444589308996	10.056086553198833	PSRC1;ARNT;DCAF6
regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618)	1/87	0.06739893835797374	0.10943986030403657	0	0	15.424806201550387	41.60264604479508	ARNT
regulation of cation channel activity (GO:2001257)	1/89	0.0688970518062023	0.11006564856735873	0	0	15.072727272727272	40.321684143986595	DLG1
positive regulation of supramolecular fiber organization (GO:1902905)	1/91	0.07039290893354096	0.11006564856735873	0	0	14.736296296296297	39.10516049943563	PSRC1
negative regulation of mitotic cell cycle phase transition (GO:1901991)	1/92	0.07113999236670747	0.11006564856735873	0	0	14.573626373626373	38.5196337684351	DLG1
regulation of lipid metabolic process (GO:0019216)	1/92	0.07113999236670747	0.11006564856735873	0	0	14.573626373626373	38.5196337684351	NFYC
regulation of endothelial cell proliferation (GO:0001936)	1/92	0.07113999236670747	0.11006564856735873	0	0	14.573626373626373	38.5196337684351	ARNT
negative regulation of MAPK cascade (GO:0043409)	1/94	0.07263247095886631	0.11029375219679699	0	0	14.258781362007168	37.3914183271943	DLG1
regulation of kinase activity (GO:0043549)	1/94	0.07263247095886631	0.11029375219679699	0	0	14.258781362007168	37.3914183271943	LMO4
