Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MPP7-DLG1-LIN7 complex (GO:0097025)	1/5	0.003993945448655638	0.07784460227951558	0	0	333.0	1839.1509089009865	DLG1
alpha-beta T cell receptor complex (GO:0042105)	1/6	0.004790942275014269	0.07784460227951558	0	0	266.38666666666666	1422.7786907214238	CD247
microtubule (GO:0005874)	2/182	0.009087945495372727	0.07784460227951558	0	0	15.717460317460317	73.88473827917298	DLG1;PSRC1
T cell receptor complex (GO:0042101)	1/12	0.00956039001281181	0.07784460227951558	0	0	121.04848484848485	562.8907982194623	CD247
postsynaptic density membrane (GO:0098839)	1/20	0.015886337864689626	0.07784460227951558	0	0	70.05263157894737	290.1787210723924	DLG1
postsynaptic specialization membrane (GO:0099634)	1/21	0.016674413158675527	0.07784460227951558	0	0	66.54666666666667	272.4340597931688	DLG1
polymeric cytoskeletal fiber (GO:0099513)	2/256	0.017400703432906586	0.07784460227951558	0	0	11.09673790776153	44.95560004132584	DLG1;TPM3
cell-cell junction (GO:0005911)	2/271	0.019368533079324762	0.07784460227951558	0	0	10.469994689325544	41.29476401615892	KIRREL1;DLG1
synaptic membrane (GO:0097060)	1/26	0.020605924132812946	0.07784460227951558	0	0	53.224	206.6249708321616	DLG1
intercalated disc (GO:0014704)	1/31	0.024522696784534302	0.0784131943986599	0	0	44.34222222222222	164.42788585185278	DLG1
Cul4-RING E3 ubiquitin ligase complex (GO:0080008)	1/34	0.02686570725940496	0.0784131943986599	0	0	40.3050505050505	145.77952373263088	DCAF6
microtubule cytoskeleton (GO:0015630)	2/331	0.028120612428925818	0.0784131943986599	0	0	8.534520191055146	30.478925998110146	DLG1;PSRC1
neuromuscular junction (GO:0031594)	1/38	0.029981515505369965	0.0784131943986599	0	0	35.94054054054054	126.04973784905	DLG1
cell-cell contact zone (GO:0044291)	1/47	0.036957923317090566	0.08975495662721994	0	0	28.895652173913042	95.29714486695593	DLG1
cytoplasmic side of plasma membrane (GO:0009898)	1/55	0.04311966044654766	0.09543337631722648	0	0	24.604938271604937	77.3524200057788	DLG1
nucleus (GO:0005634)	7/4484	0.04730276892045832	0.09543337631722648	0	0	2.6939915121733304	8.219870386647626	DLG1;PPCS;NFYC;ARNT;UBAP2L;ASH1L;DCAF6
spindle microtubule (GO:0005876)	1/61	0.04771668815861324	0.09543337631722648	0	0	22.137777777777778	67.35361520384504	PSRC1
actin filament (GO:0005884)	1/72	0.056090846072530835	0.10594937591478046	0	0	18.697652582159623	53.86387318021709	TPM3
bicellular tight junction (GO:0005923)	1/78	0.06062942061210012	0.10849475267428442	0	0	17.235497835497835	48.31066980519067	DLG1
tight junction (GO:0070160)	1/85	0.06589856541156783	0.11202756119966531	0	0	15.793650793650794	42.953022442034516	DLG1
apical junction complex (GO:0043296)	1/98	0.07561068607153909	0.12241730125868233	0	0	13.668041237113401	35.29303731792002	DLG1
cytoskeleton (GO:0005856)	2/600	0.08172071544370539	0.12629565114027197	0	0	4.631151457238413	11.598476866687655	PSRC1;TPM3
intracellular membrane-bounded organelle (GO:0043231)	7/5192	0.09438069056560408	0.1395192817056756	0	0	2.2199292831886854	5.239962761090874	DLG1;PPCS;NFYC;ARNT;UBAP2L;ASH1L;DCAF6
adherens junction (GO:0005912)	1/132	0.1005659503466767	0.142468429657792	0	0	10.103307888040712	23.206707623377085	DLG1
postsynaptic density (GO:0014069)	1/138	0.10490371453377287	0.14266905176593112	0	0	9.657907542579075	21.775803449759422	DLG1
basolateral plasma membrane (GO:0016323)	1/151	0.11423501232672365	0.1492359928697976	0	0	8.815111111111111	19.124360997236487	DLG1
cullin-RING ubiquitin ligase complex (GO:0031461)	1/157	0.11851093551425104	0.1492359928697976	0	0	8.473504273504274	18.07186657693509	DCAF6
spindle (GO:0005819)	1/192	0.14307063866927955	0.17372863266983943	0	0	6.908551483420593	13.433103526440593	PSRC1
actin cytoskeleton (GO:0015629)	1/316	0.22501701719330344	0.2638130546404247	0	0	4.162751322751323	6.2090734862160275	TPM3
intracellular non-membrane-bounded organelle (GO:0043232)	2/1158	0.23623493211051683	0.2677329230585857	0	0	2.3267424616905585	3.3573229963327713	PSRC1;TPM3
focal adhesion (GO:0005925)	1/387	0.26856899831787057	0.289782271222769	0	0	3.3848013816925735	4.449820407279143	DCAF6
cell-substrate junction (GO:0030055)	1/394	0.2727362552684885	0.289782271222769	0	0	3.3233248515691263	4.317829975207828	DCAF6
neuron projection (GO:0043005)	1/556	0.36318146706127735	0.37418696606313423	0	0	2.333813813813814	2.3638095301309185	DLG1
integral component of plasma membrane (GO:0005887)	1/1454	0.7012409754862023	0.7012409754862023	0	0	0.8502408809359945	0.3017536272318116	KIRREL1
