Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
RNA processing (GO:0006396)	15/179	0.0011122568856411239	0.7638375373522555	0	0	2.6595173766608684	18.08834600247354	SF3B4;SF3A3;NCBP2;TUT4;PABPC4;CELF3;ELAVL4;ADAR;RNPC3;SFPQ;SON;SCNM1;PRPF3;MAGOH;SRSF11
negative regulation of macrophage activation (GO:0043031)	4/16	0.0016831672695780456	0.7638375373522555	0	0	9.608955223880598	61.37314633052825	SYT11;TAFA3;ZC3H12A;CD200
RNA splicing (GO:0008380)	10/98	0.0017203347654444429	0.7638375373522555	0	0	3.2923740416210294	20.956739013198703	SF3B4;SF3A3;SFPQ;SCNM1;NCBP2;PRPF3;MAGOH;CELF3;RNPC3;SRSF11
pulmonary valve morphogenesis (GO:0003184)	4/17	0.0021428781401376215	0.7638375373522555	0	0	8.869345579793341	54.50749834022401	NOTCH2;HEYL;GJA5;ROBO1
positive regulation of viral genome replication (GO:0045070)	5/29	0.0025977869361248004	0.7638375373522555	0	0	6.0108370702541105	35.78308636176408	PPIE;ADAR;PKN2;PPIH;TMEM39A
natural killer cell activation (GO:0030101)	6/43	0.0030187252671064185	0.7638375373522555	0	0	4.6825538112963265	27.172488129925824	CD2;PRDX1;RABL3;SLAMF7;PBX1;CD244
response to alcohol (GO:0097305)	5/30	0.003032170114078678	0.7638375373522555	0	0	5.770104633781764	33.45781731333649	CHRNB2;TGFBR3;PMVK;DRD3;SOD1
negative regulation of interleukin-6 production (GO:0032715)	5/31	0.0035165910968950934	0.7638375373522555	0	0	5.547890077038059	31.347039123254326	SYT11;GBA;ZC3H12A;CD200;SLAMF1
regulation of cytoskeleton organization (GO:0051493)	10/112	0.004577674477788249	0.7638375373522555	0	0	2.838412473423104	15.289290916956373	GSK3B;PRKAA2;NEXN;PFDN2;F11R;RHOC;PHLDB2;S100A9;PAK2;EPHA3
cellular response to superoxide (GO:0071451)	3/11	0.0051342304007430005	0.7638375373522555	0	0	10.796199701937407	56.91567894960273	PRDX1;ADPRS;SOD1
cellular response to osmotic stress (GO:0071470)	4/22	0.0057633180789810065	0.7638375373522555	0	0	6.403980099502488	33.02047061029176	LRRC8D;ARHGEF2;RCSD1;MYLK
positive regulation of mRNA processing (GO:0050685)	4/23	0.006793568238381461	0.7638375373522555	0	0	6.066614296936371	30.28319761615134	SF3B4;NCBP2;THRAP3;CELF3
snRNA transcription by RNA polymerase II (GO:0042795)	7/70	0.009139439432493596	0.7638375373522555	0	0	3.208895552223888	15.066265932641944	POU2F1;NCBP2;TAF13;INTS3;RPRD2;GTF2E1;RPAP2
snRNA transcription (GO:0009301)	7/71	0.009852823699482507	0.7638375373522555	0	0	3.158592578710645	14.592688853417993	POU2F1;NCBP2;TAF13;INTS3;RPRD2;GTF2E1;RPAP2
negative regulation of neuroinflammatory response (GO:0150079)	3/14	0.010505264803276397	0.7638375373522555	0	0	7.850562254437068	35.76620965356173	SYT11;TAFA3;CD200
positive regulation of T-helper cell differentiation (GO:0045624)	3/14	0.010505264803276397	0.7638375373522555	0	0	7.850562254437068	35.76620965356173	CD86;CD80;NFKBIZ
axon choice point recognition (GO:0016198)	2/5	0.010597347242733497	0.7638375373522555	0	0	19.169642857142858	87.16727160085217	GAP43;ROBO1
regulation of growth rate (GO:0040009)	2/5	0.010597347242733497	0.7638375373522555	0	0	19.169642857142858	87.16727160085217	NOTCH2;BNIPL
cyclic-GMP-AMP transmembrane import across plasma membrane (GO:0140361)	2/5	0.010597347242733497	0.7638375373522555	0	0	19.169642857142858	87.16727160085217	LRRC8C;LRRC8D
response to cocaine (GO:0042220)	2/5	0.010597347242733497	0.7638375373522555	0	0	19.169642857142858	87.16727160085217	CHRNB2;DRD3
negative regulation of autophagosome maturation (GO:1901097)	2/5	0.010597347242733497	0.7638375373522555	0	0	19.169642857142858	87.16727160085217	RUBCN;TMEM39A
polyphosphate catabolic process (GO:0006798)	2/5	0.010597347242733497	0.7638375373522555	0	0	19.169642857142858	87.16727160085217	PRUNE1;BNIPL
positive regulation of autophagy (GO:0010508)	8/90	0.010959613854212133	0.7638375373522555	0	0	2.819014136087307	12.723728075163372	SH3GLB1;GSK3B;PLK3;TMEM59;PRKAA2;ZC3H12A;GNAI3;ATF6
regulation of autophagy (GO:0010506)	15/231	0.011944683004405073	0.7638375373522555	0	0	2.0137835103692465	8.915964138350486	SH3GLB1;ATP6V1A;GSK3B;RUBCN;KDM4A;PRKAA2;USP33;GBA;TMEM59;HAX1;ZC3H12A;LEPR;DRAM2;ATF6;BOK
response to ethanol (GO:0045471)	3/15	0.012807413609401295	0.7638375373522555	0	0	7.1959761549925485	31.358128995425176	CHRNB2;DRD3;SOD1
negative regulation of leukocyte activation (GO:0002695)	3/15	0.012807413609401295	0.7638375373522555	0	0	7.1959761549925485	31.358128995425176	CD84;ZC3H12A;CD200
mRNA metabolic process (GO:0016071)	8/95	0.014869134625602921	0.7638375373522555	0	0	2.656311483897691	11.179001124142156	LSM10;SF3B4;SF3A3;SFPQ;SON;NCBP2;PRPF3;SRSF11
apical junction assembly (GO:0043297)	6/60	0.015351971650483989	0.7638375373522555	0	0	3.2055888223552893	13.388178154212428	DLG1;CLDN8;PKN2;F11R;RHOC;PAK2
