Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
vesicle (GO:0031982)	15/226	0.009910948056292963	0.7430823878631989	0	0	2.0620428769714274	9.514503523115017	SLC30A7;TFRC;ITSN1;ATP1A1;C8B;GIGYF2;SYNJ1;OLFML3;SYT11;COL6A3;TAGLN2;ANXA9;ARHGEF2;TSPAN1;MUC4
cis-Golgi network membrane (GO:0033106)	2/7	0.02127825922273289	0.7430823878631989	0	0	11.500595238095238	44.27809005291335	TRAPPC3;BOK
cell-cell junction (GO:0005911)	16/271	0.02184616751462672	0.7430823878631989	0	0	1.8185589129268729	6.953677858609454	CD53;CADM3;HEG1;MAGI3;F11R;DLG1;VANGL2;GJB3;GJA5;PKN2;PLPP3;NECTIN4;PAK2;NECTIN3;S100A11;JAM2
mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) (GO:0000276)	2/8	0.027744530474331983	0.7430823878631989	0	0	9.583333333333334	34.3535336831384	ATP5PB;ATP5PO
MOZ/MORF histone acetyltransferase complex (GO:0070776)	2/8	0.027744530474331983	0.7430823878631989	0	0	9.583333333333334	34.3535336831384	ING5;MEAF6
connexin complex (GO:0005922)	3/21	0.032254714010167475	0.7430823878631989	0	0	4.795827123695976	16.469307125433886	GJB3;GJA5;GJA9
H3 histone acetyltransferase complex (GO:0070775)	2/9	0.03488615446871869	0.7430823878631989	0	0	8.213860544217686	27.56296638493022	ING5;MEAF6
extracellular membrane-bounded organelle (GO:0065010)	5/56	0.03992798333647459	0.7430823878631989	0	0	2.824672469884815	9.097360097243971	TFRC;OLFML3;COL6A3;ATP1A1;C8B
clathrin coat of coated pit (GO:0030132)	2/10	0.04265040991038732	0.7430823878631989	0	0	7.1867559523809526	22.672191196608054	SYNJ1;SGIP1
axon (GO:0030424)	12/204	0.044093180101663236	0.7430823878631989	0	0	1.8064577039274925	5.63876767939989	GSK3B;ALCAM;PRKAA2;SYT11;INSRR;DOCK7;KCNA3;ELAVL4;NEXN;KIF1A;NCDN;CD200
gap junction (GO:0005921)	3/24	0.04559069548170517	0.7430823878631989	0	0	4.110070257611241	12.692109157345609	GJB3;GJA5;GJA9
extracellular vesicle (GO:1903561)	5/59	0.04827071967942416	0.7430823878631989	0	0	2.667331008138183	8.084493892483245	TFRC;OLFML3;COL6A3;ATP1A1;C8B
Golgi medial cisterna (GO:0005797)	2/11	0.05098735277970633	0.7430823878631989	0	0	6.387896825396825	19.01151583713567	TMEM59;YIPF1
Golgi trans cisterna (GO:0000138)	2/11	0.05098735277970633	0.7430823878631989	0	0	6.387896825396825	19.01151583713567	TMEM59;YIPF1
U12-type spliceosomal complex (GO:0005689)	3/28	0.06691713652214634	0.7430823878631989	0	0	3.4517436661698957	9.334551063805675	SF3B4;YBX1;RNPC3
U2-type precatalytic spliceosome (GO:0071005)	4/50	0.08734707859310434	0.7430823878631989	0	0	2.5022712524334847	6.1002012278828195	SF3B4;SF3A3;PRPF38A;PRPF3
proton-transporting ATP synthase complex (GO:0045259)	2/15	0.08915336875702262	0.7430823878631989	0	0	4.421474358974359	10.688459504770437	ATP5PB;ATP5PO
mitochondrial inner membrane (GO:0005743)	16/328	0.09004990385930274	0.7430823878631989	0	0	1.4818798223053542	3.5674645548128736	MRPS15;ATP5PB;NDUFA10;MRPL39;MRPS21;SDHC;OMA1;PPOX;MRPS6;UQCRH;CPT2;NDUFS5;ATP5PO;MRPL9;DAP3;BOK
precatalytic spliceosome (GO:0071011)	4/52	0.09756533045884427	0.7430823878631989	0	0	2.397761194029851	5.580149143216286	SF3B4;SF3A3;PRPF38A;PRPF3
