Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553)	5/37	0.007645441710928401	0.6627478549332069	0	0	4.506259342301943	21.961911302289693	OVGP1;ABHD10;GBA;CHI3L2;ADPRS
exopolyphosphatase activity (GO:0004309)	2/5	0.010597347242733497	0.6627478549332069	0	0	19.169642857142858	87.16727160085217	PRUNE1;BNIPL
interferon receptor activity (GO:0004904)	2/5	0.010597347242733497	0.6627478549332069	0	0	19.169642857142858	87.16727160085217	IFNAR2;IFNAR1
cell-cell adhesion mediator activity (GO:0098632)	5/42	0.013007606939337687	0.6627478549332069	0	0	3.896295398537551	16.918575481490365	NTNG1;NEXN;CD47;S100A11;CD200
uridylyltransferase activity (GO:0070569)	2/6	0.015542971790201398	0.6627478549332069	0	0	14.376488095238095	59.86580571002909	TUT4;UAP1
chitinase activity (GO:0004568)	2/6	0.015542971790201398	0.6627478549332069	0	0	14.376488095238095	59.86580571002909	OVGP1;CHI3L2
SUMO-specific protease activity (GO:0016929)	2/7	0.02127825922273289	0.6627478549332069	0	0	11.500595238095238	44.27809005291335	SENP7;SENP5
glucose:sodium symporter activity (GO:0005412)	2/7	0.02127825922273289	0.6627478549332069	0	0	11.500595238095238	44.27809005291335	SLC5A9;SLC5A3
oxidoreductase activity, acting on the CH-CH group of donors, oxygen as acceptor (GO:0016634)	2/7	0.02127825922273289	0.6627478549332069	0	0	11.500595238095238	44.27809005291335	CPOX;PPOX
anion channel activity (GO:0005253)	6/68	0.026848362744811168	0.6627478549332069	0	0	2.7908054858025886	10.095879606793849	BSND;CLCA2;LRRC8C;CLCA1;LRRC8D;CLCC1
pre-mRNA intronic binding (GO:0097157)	2/8	0.027744530474331983	0.6627478549332069	0	0	9.583333333333334	34.3535336831384	ELAVL4;RNPC3
nucleoside monophosphate kinase activity (GO:0050145)	3/20	0.02833870351534104	0.6627478549332069	0	0	5.078197597966161	18.096293201942924	DLG1;MAGI3;CMPK1
catalytic activity, acting on a tRNA (GO:0140101)	4/35	0.029275046518306036	0.6627478549332069	0	0	3.7159364467982665	13.121045096682128	QTRT2;TYW3;TARS2;TRIT1
sialyltransferase activity (GO:0008373)	3/21	0.032254714010167475	0.6627478549332069	0	0	4.795827123695976	16.469307125433886	ST3GAL6;ST6GALNAC3;ST3GAL3
volume-sensitive anion channel activity (GO:0005225)	2/9	0.03488615446871869	0.6627478549332069	0	0	8.213860544217686	27.56296638493022	LRRC8C;LRRC8D
glucosyltransferase activity (GO:0046527)	2/9	0.03488615446871869	0.6627478549332069	0	0	8.213860544217686	27.56296638493022	ALG6;GBA
guanylate kinase activity (GO:0004385)	2/9	0.03488615446871869	0.6627478549332069	0	0	8.213860544217686	27.56296638493022	DLG1;MAGI3
potassium ion binding (GO:0030955)	2/9	0.03488615446871869	0.6627478549332069	0	0	8.213860544217686	27.56296638493022	HDAC4;ATP1A1
RAGE receptor binding (GO:0050786)	2/9	0.03488615446871869	0.6627478549332069	0	0	8.213860544217686	27.56296638493022	S100A13;S100A9
deubiquitinase activity (GO:0101005)	8/112	0.03566670287069817	0.6627478549332069	0	0	2.2201432201432203	7.400931163981485	USP16;MINDY1;USP21;USP33;ZC3H12A;OTUD7B;USP40;MYSM1
poly(A) binding (GO:0008143)	3/22	0.03643757283952712	0.6627478549332069	0	0	4.543179857243706	15.047715043428601	PABPC4;ELAVL4;PPIE
adenylate cyclase binding (GO:0008179)	2/10	0.04265040991038732	0.6627478549332069	0	0	7.1867559523809526	22.672191196608054	CAP1;ADCY5
histone methyltransferase activity (H3-K9 specific) (GO:0046974)	2/10	0.04265040991038732	0.6627478549332069	0	0	7.1867559523809526	22.672191196608054	SETDB1;ASH1L
prostaglandin receptor activity (GO:0004955)	2/10	0.04265040991038732	0.6627478549332069	0	0	7.1867559523809526	22.672191196608054	PTGFR;PTGER3
protein binding involved in heterotypic cell-cell adhesion (GO:0086080)	2/10	0.04265040991038732	0.6627478549332069	0	0	7.1867559523809526	22.672191196608054	CD47;CD200
cell adhesion mediator activity (GO:0098631)	3/24	0.04559069548170517	0.6627478549332069	0	0	4.110070257611241	12.692109157345609	NTNG1;NEXN;CD47
gap junction channel activity (GO:0005243)	3/24	0.04559069548170517	0.6627478549332069	0	0	4.110070257611241	12.692109157345609	GJB3;GJA5;GJA9
cysteine-type peptidase activity (GO:0008234)	7/98	0.04765719542605456	0.6627478549332069	0	0	2.2183139199630952	6.751930114645548	USP16;USP21;USP33;CTSK;ATG4C;OTUD7B;USP40
wide pore channel activity (GO:0022829)	3/25	0.05055261131327005	0.6627478549332069	0	0	3.9230456577699497	11.709273951778961	GJB3;GJA5;GJA9
NF-kappaB binding (GO:0051059)	3/25	0.05055261131327005	0.6627478549332069	0	0	3.9230456577699497	11.709273951778961	GSK3B;FAF1;BCL10
G protein-coupled receptor binding (GO:0001664)	9/143	0.05311119231321143	0.6627478549332069	0	0	1.938368308831781	5.689823520761262	ARHGEF11;WNT2B;USP33;PTCH2;SAG;GNAI3;S1PR1;S100A14;RSPO1
snRNA binding (GO:0017069)	4/43	0.05603976432526075	0.6627478549332069	0	0	2.9524684270952926	8.508109851802379	LSM10;TOE1;NCBP2;RNPC3
