Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
vesicle (GO:0031982)	8/226	2.152278371562815E-4	0.023161266241650394	0	0	5.378611529508421	45.4159920160413	RAB3B;TFRC;SYNJ1;SYT11;ANXA9;ATP1A1;TSPAN1;GIGYF2
intermediate filament cytoskeleton (GO:0045111)	5/84	3.3087523202357706E-4	0.023161266241650394	0	0	9.137484985678647	73.22569570874184	MACF1;PKN2;CCT8;PHLDB2;S100A8
nucleus (GO:0005634)	46/4484	0.0039014413090228714	0.15238757903490197	0	0	1.6648828301036502	9.23412149193161	NOTCH2;GSK3B;PRKAA2;USP16;RTCA;FAF1;DCAF8;OTUD7B;BCL10;RNPC3;GTF2E1;MYSM1;DCAF6;SENP7;PRDX1;ZNHIT6;S100A13;PIP5K1A;UBAP2L;DMAP1;ANXA9;PRKACB;MUTYH;PRMT6;KDM4A;AKIRIN1;CDKN2C;GADD45A;PABPC4;NFYC;ARNT;ASH1L;RCAN1;HEYL;DLG1;ZFP69;PRPF3;MTF1;MTF2;PPT1;S100A5;PPIE;S100A4;PKN2;S100A8;INKA2
lytic vacuole (GO:0000323)	6/219	0.004797363985412656	0.15238757903490197	0	0	4.06897265948633	21.727047255692195	SYT11;CTSK;GBA;PPT1;BCL10;ELAPOR1
intracellular membrane-bounded organelle (GO:0043231)	51/5192	0.005442413536960785	0.15238757903490197	0	0	1.6043549914392163	8.364357132661011	GSK3B;WNT2B;TFRC;RTCA;FAF1;DCAF8;OTUD7B;MYSM1;DCAF6;SENP7;CTSK;UBAP2L;ANXA9;PRKACB;PRMT6;PABPC4;ARNT;ASH1L;PRPF3;MTF1;MTF2;S100A5;PPIE;S100A4;S100A8;NOTCH2;PRKAA2;USP16;BCL10;RNPC3;GTF2E1;PRDX1;ZNHIT6;S100A13;PIP5K1A;DMAP1;TSPAN1;MUTYH;KDM4A;AKIRIN1;CDKN2C;GADD45A;NFYC;RCAN1;HEYL;DLG1;ZFP69;ARHGAP30;PPT1;PKN2;INKA2
microtubule cytoskeleton (GO:0015630)	7/331	0.00949325931164515	0.1943379038055576	0	0	3.1261545496113397	14.559043432489919	IQCB1;MACF1;DLG1;PSRC1;SYNJ1;SPICE1;CCT8
microtubule (GO:0005874)	5/182	0.009722429611438519	0.1943379038055576	0	0	4.05810548888614	18.802500235057604	MACF1;DLG1;PSRC1;SYNJ1;CCT8
cytoplasmic stress granule (GO:0010494)	3/65	0.011105023074603291	0.1943379038055576	0	0	6.891158041308889	31.0126764548217	PRKAA2;PABPC4;GIGYF2
dendrite (GO:0030425)	6/270	0.012757874059557108	0.19484288806449945	0	0	3.274398395721925	14.281637734684585	GSK3B;PRKAA2;MLPH;SYT11;ELAVL4;GIGYF2
synaptic membrane (GO:0097060)	2/26	0.014551228604158976	0.19484288806449945	0	0	11.80595238095238	49.940121262336156	DLG1;SYNJ1
axon (GO:0030424)	5/204	0.015309084062210673	0.19484288806449945	0	0	3.6054359388181787	15.068230497442078	GSK3B;PRKAA2;SYT11;PPT1;ELAVL4
intercalated disc (GO:0014704)	2/31	0.02034505632791433	0.21182851187781207	0	0	9.767980295566502	38.045475721512574	DLG1;GJA5
lysosome (GO:0005764)	8/477	0.02071682934744376	0.21182851187781207	0	0	2.468128440950896	9.568462298995385	MCOLN3;SYT11;CTSK;TMEM79;GBA;PPT1;BCL10;ELAPOR1
heterotrimeric G-protein complex (GO:0005834)	2/33	0.022889892489759714	0.21182851187781207	0	0	9.136866359447005	34.510491006617706	GNAT2;GNG5
lysosomal lumen (GO:0043202)	3/86	0.023374177955247735	0.21182851187781207	0	0	5.1421513391696285	19.314554828011193	CTSK;GBA;PPT1
Cul4-RING E3 ubiquitin ligase complex (GO:0080008)	2/34	0.024208972786035666	0.21182851187781207	0	0	8.850892857142858	32.93445500352438	DCAF8;DCAF6
