Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
RAGE receptor binding (GO:0050786)	3/9	2.8527086224653895E-5	0.00696060903881555	0	0	71.41007194244604	747.2818755303538	S100A13;S100A4;S100A8
kinase binding (GO:0019900)	11/461	4.603000118604256E-4	0.035072823159133584	0	0	3.621509754028838	27.82634852906611	IFNAR2;GSK3B;DLG1;CDKN2C;TFRC;SHC1;GADD45A;FAF1;PIP5K1A;BCL10;INKA2
poly(A) binding (GO:0008143)	3/22	4.887759572917396E-4	0.035072823159133584	0	0	22.535781900795154	171.80392974255597	PABPC4;ELAVL4;PPIE
myosin binding (GO:0017022)	4/56	6.71817307388982E-4	0.035072823159133584	0	0	11.040133779264215	80.65396359485823	RAB3B;KIRREL1;MLPH;SPATA6
NF-kappaB binding (GO:0051059)	3/25	7.187053926051964E-4	0.035072823159133584	0	0	19.459777632439504	140.85101921896066	GSK3B;FAF1;BCL10
poly-purine tract binding (GO:0070717)	3/28	0.0010078763720033973	0.04098697246147149	0	0	17.12201438848921	118.14035425295002	PABPC4;ELAVL4;PPIE
pre-mRNA intronic binding (GO:0097157)	2/8	0.0013628397612813203	0.047504700250377445	0	0	47.266666666666666	311.874196651513	ELAVL4;RNPC3
protein kinase binding (GO:0019901)	10/506	0.003336026676905879	0.10174881364562932	0	0	2.957294721407625	16.865377265982367	IFNAR2;GSK3B;DLG1;CDKN2C;TFRC;SHC1;FAF1;BCL10;CD247;INKA2
cadherin binding (GO:0045296)	7/322	0.008231265044031112	0.19316990714574125	0	0	3.216954732510288	15.44078939636514	MACF1;DLG1;PRDX1;PKN2;CCT8;PHLDB2;GIGYF2
protease binding (GO:0002020)	4/118	0.010016116926329676	0.19316990714574125	0	0	5.020086448004069	23.11026811805975	GSK3B;ADAMTSL4;BCL10;ANXA9
RNA polymerase II-specific DNA-binding transcription factor binding (GO:0061629)	5/190	0.011556494225379467	0.19316990714574125	0	0	3.881041625567173	17.31141616909589	GSK3B;FAF1;ARNT;BCL10;DMAP1
ubiquitin protein ligase binding (GO:0031625)	6/265	0.011721149464369453	0.19316990714574125	0	0	3.3384624119918236	14.844007140610527	GSK3B;KDM4A;SYT11;FAF1;BCL10;PRKACB
calcium ion binding (GO:0005509)	7/348	0.012255589533241653	0.19316990714574125	0	0	2.967720212881503	13.063231172422004	BGLAP;SYT11;S100A13;S100A5;S100A4;ANXA9;S100A8
